region,province,commune,id_commune,circ,parti,candidat,id_candidat
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PAM","ابراهيم مجاهد","111712"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PAM","عائشة ايت حدو","114328"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PAM","محمد العلاوي","111863"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PAM","حفيضة رجيج","114411"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PAM","محمد ايت الحاج","112275"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PAM","سعيد الوهابي","112461"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PAM","نور الدين الحمزاوي","112619"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PAM","المصطفى وطالب","112805"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PAM","ابراهيم  ايت يدير","112903"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PAM","ادريس ايتبنسعيد","113081"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","MP","بدر التوامي","121697"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","MP","تودة فارح","123187"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","MP","حميد الشرقاوي","121887"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","MP","ابراهيم المنصوري","122002"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","MP","محمد حميدي","122062"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PADS","حدو مسكيتو","61785"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PSU","نجاة كمال","64593"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","CNI","محند تابث","61901"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PSU","بلقاسم المرابط","61965"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PJD","سعيد ابن البشير","76182"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PJD","شيماء براز","81567"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PJD","الحسان بولمان","76258"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PRD","زوبيدة طالب","11597"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PRD","مونية بولمنازيل","11868"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PRD","محمد ايت الطالب","11674"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PI","بدرالدين ناجح فوزي","122444"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","PI","ولعيد ايتصحا","122669"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","USFP","محمد وغاض","87811"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","4008","USFP","حسن ايت تدارت","88040"
"بني ملال -خنيفرة","أزيلال","أفورار","19","232","RNI","عبد الرحمان اعموم","75830"
"بني ملال -خنيفرة","أزيلال","أفورار","19","232","RNI","فاتحة ماحي","75899"
"بني ملال -خنيفرة","أزيلال","أفورار","19","234","RNI","محمد العيدي","75739"
"بني ملال -خنيفرة","أزيلال","أفورار","19","234","RNI","حفيظة اقدار","75770"
"بني ملال -خنيفرة","أزيلال","أفورار","19","239","RNI","المصطفى الرداد","85168"
"بني ملال -خنيفرة","أزيلال","أفورار","19","233","RNI","احمد بويقوشان","75989"
"بني ملال -خنيفرة","أزيلال","أفورار","19","244","RNI","ميمون تكورة","58755"
"بني ملال -خنيفرة","أزيلال","أفورار","19","242","RNI","عبداللطيف اعموم","41780"
"بني ملال -خنيفرة","أزيلال","أفورار","19","235","RNI","محمد البوابراهيمي","59252"
"بني ملال -خنيفرة","أزيلال","أفورار","19","243","RNI","عبد الحق اخويا","96886"
