region,province,commune,id_commune,circ,parti,candidat,id_candidat
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25003","PJD","عبد المالك لكحيلي","11721"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25003","PJD","أمينة  مقران","13070"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25003","PJD","المصطفى  بنان ","11748"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25003","PJD","بوشرة وهيب","13128"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25003","PJD","عبد اللطيف الناصري","11889"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25003","PJD","محمد بحو","11817"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25004","PJD","محمد نجيب عمور","30091"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25004","PJD","سميرة رزاني","30672"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25004","PJD","احمد جدار","30116"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25004","PJD","مريم العدني","30688"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25004","PJD","محمد محفاض","30147"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25004","PJD","عبد الرحيم مستاوي","30167"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25004","PJD","عبدالعزيز الكرومي","30192"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25008","PJD","حسن برود","50423"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25008","PJD","امينة الخشمي","52876"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25008","PJD","حميد بن غريضو","50541"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25008","PJD","هنية بن الزاوية","53125"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25008","PJD","عزيز مهايمر","50670"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25008","PJD","عزيز اجويد","50762"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25008","PJD","محمد سكاط","50910"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25018","PJD","عبد الكريم لهوايشري","10942"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25018","PJD","خديجة ايت مولاي","11210"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25018","PJD","عبد المجيد ايت العديلة","11005"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25018","PJD","سعاد لعماري","11209"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25018","PJD","رضوان مزيري","10981"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25014","PJD","عبد الصمد حيكر","35849"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25014","PJD","الها م بولغمان","36687"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25014","PJD","لخضر حمداني","36031"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25014","PJD","اميمة الاصماعي","36760"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25014","PJD","عبدالرحيم خفيف","35930"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25014","PJD","عدنان الهوري","36099"
"الدار البيضاء-سطات","الدار البيضاء","الدار البيضاء","1549","25016","PJD","مصطفى الحيا","28873"
