region,province,commune,id_commune,circ,parti,candidat,id_candidat
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3352","PI","الشريف الخطاط","13273"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3352","PI","مانتو ماء العينين","13319"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3360","PI","الشيخ مسكة","13636"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3351","PI","الشيخ بنان","18209"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3353","PI","محمد ماء العينين","13567"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3353","PI","اغلانة ماء العينين","13595"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3358","PI","محمد بنان","94073"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3361","PI","مباركة حيماد","13614"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3355","PI","الشيخ احمد بنان","13217"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3356","PI","ولينا العماري","13358"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3357","PI","الشيخ هبدى","39349"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3354","RNI","عثمان الزروالي","13352"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3354","RNI","اميلمنين ماغا","13397"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3359","RNI","بوها المهدي","93142"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3359","RNI","امنيمنات كبادي","93200"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","501","PI","احمد ديدى","12861"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","501","PI","الغالية اباه","12817"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","504","PI","خليفة النين","29717"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","504","PI","خدجوني الدليمي","29760"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","502","PI","محمد فاضل هنوني","18029"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","500","PI","الهيبة ادليمي","52873"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","500","PI","نبغوها لمباركي","52976"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","508","PI","محمد لوليد","8748"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","506","PI","افضيلي اهل احمد ابراهيم","35975"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","505","PI","محمد سالم ميارة","38427"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","505","PI","الزينة بارك الله","38307"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","507","PI","محمد اهل احمد ابراهيم","29948"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","509","PI","سيد احمد اهل احمد ابراهيم","12684"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","510","PI","صالح الشين","12906"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","503","PI","محمد علي المهدي","17974"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24199","PI","محمد سالم باهي","14014"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24199","PI","غلة باهي","14031"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24198","PI","محمد باهي","14051"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24198","PI","عجينة ارويبح","14066"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24195","PI","عبد المولى ازويني","13980"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24200","PI","عبد الكريم المازغي","14086"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24200","PI","النعيجة الركيبي","14107"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24193","PI","هداد الذهبي","35699"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24193","PI","سيدته الهيبة","35747"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24201","PI","بيات اهل محمد","13943"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24202","PI","محمد بلاوي","29572"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24196","PI","لحزام براي","14134"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24192","RNI","علي ماغة","22776"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24194","PAM","حسن الشرقاوي","53147"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24197","PJD","امربيه اباعقيل","1022"
"الداخلة- وادي الذهب","أوسرد","الكويرة","760","11982","PI","عبداللطيف الجدوالي","101692"
"الداخلة- وادي الذهب","أوسرد","الكويرة","760","11982","PI","خديجة الخليكي","101851"
"الداخلة- وادي الذهب","أوسرد","الكويرة","760","11981","PI","ابراهيم الخليكي","101600"
"الداخلة- وادي الذهب","أوسرد","الكويرة","760","11981","PI","ام المؤمنين ماغة","101709"
"الداخلة- وادي الذهب","أوسرد","الكويرة","760","11980","PI","مبارك مونزيد","101306"
"الداخلة- وادي الذهب","أوسرد","الكويرة","760","11980","PI","فيلهة بوسيف","101463"
"الداخلة- وادي الذهب","أوسرد","الكويرة","760","11979","PI","سيد احمد الخليكي","38799"
"الداخلة- وادي الذهب","أوسرد","الكويرة","760","11976","PI","داودي فتوح","36195"
"الداخلة- وادي الذهب","أوسرد","الكويرة","760","11974","PI","الحسين اهل حماد","36279"
"الداخلة- وادي الذهب","أوسرد","الكويرة","760","11972","RNI","محمد بوبكر","29852"
"الداخلة- وادي الذهب","أوسرد","الكويرة","760","11973","RNI","محمد بوه","38546"
"الداخلة- وادي الذهب","أوسرد","الكويرة","760","11977","RNI","ابراهيم اهل بوبكر","107967"
"الداخلة- وادي الذهب","أوسرد","الكويرة","760","11975","PAM","عبد الفتاح اهل المكي","69043"
"الداخلة- وادي الذهب","أوسرد","الكويرة","760","11978","PJD","احمادي حبيب الله","2528"
"الداخلة- وادي الذهب","أوسرد","الكويرة","760","11978","PJD","امينة بارك الله","2535"
"الداخلة- وادي الذهب","أوسرد","بئر كندوز","305","4725","PI","صالح براي","22751"
"الداخلة- وادي الذهب","أوسرد","بئر كندوز","305","4725","PI","الصغرة  اهل السيد","22764"
"الداخلة- وادي الذهب","أوسرد","بئر كندوز","305","4721","PI","محمد الامين اهل السيد","13886"
"الداخلة- وادي الذهب","أوسرد","بئر كندوز","305","4721","PI","محمودة ينجا","13906"
"الداخلة- وادي الذهب","أوسرد","بئر كندوز","305","4724","PI","سيد احمد نافع","13549"
"الداخلة- وادي الذهب","أوسرد","بئر كندوز","305","4724","PI","نزهة الفالي","13571"
"الداخلة- وادي الذهب","أوسرد","بئر كندوز","305","4719","PI","منصور حمادي","24946"
"الداخلة- وادي الذهب","أوسرد","بئر كندوز","305","4719","PI","مريم اهل احمد ابراهيم","25388"
"الداخلة- وادي الذهب","أوسرد","بئر كندوز","305","4720","PI","فيصل  السحماني","8778"
"الداخلة- وادي الذهب","أوسرد","بئر كندوز","305","4727","PI","لفقير الخطاط","2948"
"الداخلة- وادي الذهب","أوسرد","بئر كندوز","305","4723","PI","البخاري بداه","12717"
"الداخلة- وادي الذهب","أوسرد","بئر كندوز","305","4722","PI","احمد سالم داي","18097"
"الداخلة- وادي الذهب","أوسرد","بئر كندوز","305","4718","PI","الداهي حرمة الله","8610"
"الداخلة- وادي الذهب","أوسرد","بئر كندوز","305","4726","MP","محمد الزين","12756"
"الداخلة- وادي الذهب","أوسرد","بئر كندوز","305","4717","MP","الصبار اهل الفراح","8724"
"الداخلة- وادي الذهب","أوسرد","تشلا","1426","22498","MP","الجيش بكار","93927"
"الداخلة- وادي الذهب","أوسرد","تشلا","1426","22498","MP","الشريفة اهل علي","93990"
"الداخلة- وادي الذهب","أوسرد","تشلا","1426","22502","MP","الناجم بكار","51426"
"الداخلة- وادي الذهب","أوسرد","تشلا","1426","22499","MP","الناجم عدة","31007"
"الداخلة- وادي الذهب","أوسرد","تشلا","1426","22495","MP","السالك بنسعيد","48457"
"الداخلة- وادي الذهب","أوسرد","تشلا","1426","22503","PI","محمد المامي مي","95669"
"الداخلة- وادي الذهب","أوسرد","تشلا","1426","22497","PI","خليهنا اعمار","93680"
"الداخلة- وادي الذهب","أوسرد","تشلا","1426","22497","PI","كجمولة اعمار","93715"
"الداخلة- وادي الذهب","أوسرد","تشلا","1426","22494","PI","محمد مبارك عبداللاوي","47960"
"الداخلة- وادي الذهب","أوسرد","تشلا","1426","22494","PI","السالمة الدليمي","48114"
"الداخلة- وادي الذهب","أوسرد","تشلا","1426","22504","PI","ديدي الدليمي","48668"
"الداخلة- وادي الذهب","أوسرد","تشلا","1426","22500","PI","الكوري السيد","51657"
"الداخلة- وادي الذهب","أوسرد","تشلا","1426","22501","PJD","اعبيدي الدليمي","1052"
"الداخلة- وادي الذهب","أوسرد","تشلا","1426","22501","PJD","نزهة مني","1069"
"الداخلة- وادي الذهب","أوسرد","تشلا","1426","22496","PPS","البخاري اللب","48963"
"الداخلة- وادي الذهب","وادي الذهب","اكليبات الفولة","567","8946","MP","ابراهيم جريري","80571"
"الداخلة- وادي الذهب","وادي الذهب","اكليبات الفولة","567","8946","MP","رباب جريري","80598"
"الداخلة- وادي الذهب","وادي الذهب","اكليبات الفولة","567","8937","MP","علي بنعلال","1063"
"الداخلة- وادي الذهب","وادي الذهب","اكليبات الفولة","567","8947","MP","محمد فاضل بنعلال","1137"
"الداخلة- وادي الذهب","وادي الذهب","اكليبات الفولة","567","8941","MP","السالك اهل البشير","1117"
"الداخلة- وادي الذهب","وادي الذهب","اكليبات الفولة","567","8943","MP","محمد صالح لعريبي","80647"
"الداخلة- وادي الذهب","وادي الذهب","اكليبات الفولة","567","8943","MP","دنبرة لعريبي","80686"
"الداخلة- وادي الذهب","وادي الذهب","اكليبات الفولة","567","8945","MP","السالم بنعلال","1127"
"الداخلة- وادي الذهب","وادي الذهب","اكليبات الفولة","567","8945","MP","هيام بنعلال","1118"
"الداخلة- وادي الذهب","وادي الذهب","اكليبات الفولة","567","8940","MP","علي الداودي","1100"
"الداخلة- وادي الذهب","وادي الذهب","اكليبات الفولة","567","8944","PI","محمد الماح","6801"
"الداخلة- وادي الذهب","وادي الذهب","اكليبات الفولة","567","8938","PI","علتو اعمار","6819"
"الداخلة- وادي الذهب","وادي الذهب","اكليبات الفولة","567","8938","PI","خديجة باعمراني","6886"
"الداخلة- وادي الذهب","وادي الذهب","اكليبات الفولة","567","8942","PI","الشيخ ماء العينين ماء العينين","81687"
"الداخلة- وادي الذهب","وادي الذهب","اكليبات الفولة","567","8939","PJD","محمد سالم هنوني","1085"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","MP","سيدي صلوح الجماني","64108"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","MP","خديجتو ابيهي","65347"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","MP","سيدي احمد بكار","64322"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","MP","جميلة لكرد","65555"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","MP","يحفظه بنمبارك","64653"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","MP","ابراهيم البطاح","66326"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","MP","محمد الامين ديدى","66439"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","MP","الخير الخليل","66579"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","MP","ابراهيم عية","65206"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","MP","عمر العكير","65662"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","MP","سيدي محمد علي لبيهي","65823"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","MP","مبارك ستار","66480"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","MP","عبد اللطيف الحسنوي","66581"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","MP","عبد الغني الرماني","66718"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","MP","العلمي مودن","64580"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PI","محمد الامين حرمة لله","96844"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PI","ميمونة السيد","99111"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PI","الشيخ اعمار","96883"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PI","ماءالعينين بوكرن","96896"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PI"," المامي اهل احمد ابراهيم","96926"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PI","امبارك الشتوكي","96944"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PI","علي احمد زين","96956"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PI","سيدي امحمد العياشي","96982"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PI","محمد نوحي","97026"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PI","احمد الصلاي","97046"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","USFP","سليمان الدرهم","56185"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","USFP","السعدية عدوران","56470"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","USFP","محمد عبد الله بكار","56253"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","USFP","عاشور لطرش","56302"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","USFP","محمد سالم حمية","56359"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","USFP","محمد بوسيف","56333"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PJD","محمد امبارك لعبيد","28716"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PJD","عزوها العراك","28748"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PJD","امربيه ربه البوهالة","29923"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PJD","عبد العزيز تاقي","38030"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PAM","رضوان الشيكر","100407"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PAM","عتيقة زلاف","102577"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PAM","محمد الزعلي","100537"
"الداخلة- وادي الذهب","وادي الذهب","الداخلة","447","25102","PAM","احمد امعيف","100613"
"الداخلة- وادي الذهب","وادي الذهب","العركوب","483","7552","PI","باهي حنان","107535"
