region,province,commune,id_commune,circ,parti,candidat,id_candidat
"درعة -تافيلالت","الرشيدية","أرفود","239","3541","PJD","امحمد وبزة","45559"
"درعة -تافيلالت","الرشيدية","أرفود","239","3541","PJD","أسماء اسماعيلي","45588"
"درعة -تافيلالت","الرشيدية","أرفود","239","3534","PJD","توفيق السليماني","3332"
"درعة -تافيلالت","الرشيدية","أرفود","239","3534","PJD","سعاد عاطف","3366"
"درعة -تافيلالت","الرشيدية","أرفود","239","3533","PJD","محمد جدية","45248"
"درعة -تافيلالت","الرشيدية","أرفود","239","3533","PJD","بدة الشامي","45314"
"درعة -تافيلالت","الرشيدية","أرفود","239","3537","PJD","عبد الرحمن مديني","10545"
"درعة -تافيلالت","الرشيدية","أرفود","239","3542","PJD","علي اولمالح","590"
"درعة -تافيلالت","الرشيدية","أرفود","239","3524","PJD","الحسين وادي","10562"
"درعة -تافيلالت","الرشيدية","أرفود","239","3536","PJD","عبد السلام برجي","10544"
"درعة -تافيلالت","الرشيدية","أرفود","239","3530","PJD","عبد العزيز الحميم","15695"
"درعة -تافيلالت","الرشيدية","أرفود","239","3529","PJD","عبد الوهاب الفقير","6218"
"درعة -تافيلالت","الرشيدية","أرفود","239","3528","PJD","محمد الحيداوي","30056"
"درعة -تافيلالت","الرشيدية","أرفود","239","3535","PJD","عبد المجيد مسعودي","45358"
"درعة -تافيلالت","الرشيدية","أرفود","239","3540","PJD","بن سالم ابرشمي","45389"
"درعة -تافيلالت","الرشيدية","أرفود","239","3543","PI","اسماعيل بلحسان","6239"
"درعة -تافيلالت","الرشيدية","أرفود","239","3527","PI","علي  كراوي","176"
"درعة -تافيلالت","الرشيدية","أرفود","239","27448","PI","الخلاقة النحلي","6104"
"درعة -تافيلالت","الرشيدية","أرفود","239","3531","PI","محمد العربي النصيري","6090"
"درعة -تافيلالت","الرشيدية","أرفود","239","3538","PI","عبد الغاني حمداوي","42109"
"درعة -تافيلالت","الرشيدية","أرفود","239","3538","PI","خديجة اصغير","42169"
"درعة -تافيلالت","الرشيدية","أرفود","239","27449","PI","المصطفى رشدي","82634"
