region,province,commune,id_commune,circ,parti,candidat,id_candidat
"فاس- مكناس","الحاجب","إقدار","659","10351","PPS","عبدالعزيز حجري","2788"
"فاس- مكناس","الحاجب","إقدار","659","10351","PPS","نادية اكرام","2801"
"فاس- مكناس","الحاجب","إقدار","659","10348","PPS","كريم علاوي","6810"
"فاس- مكناس","الحاجب","إقدار","659","10348","PPS","سميرة امباركي","6797"
"فاس- مكناس","الحاجب","إقدار","659","10353","PPS","المصطفى باعمو","2424"
"فاس- مكناس","الحاجب","إقدار","659","10344","PPS","حدو العزوي","387"
"فاس- مكناس","الحاجب","إقدار","659","10346","PPS","محمد العسري","36902"
"فاس- مكناس","الحاجب","إقدار","659","10341","PPS","عبدالواحد فران","599"
"فاس- مكناس","الحاجب","إقدار","659","10350","PPS","محمد احجو","423"
"فاس- مكناس","الحاجب","إقدار","659","10342","PPS","حميد بولحيمص","353"
"فاس- مكناس","الحاجب","إقدار","659","10345","PJD","محمد اعراب","3461"
"فاس- مكناس","الحاجب","إقدار","659","10343","PJD","بنسالم  افود","32966"
"فاس- مكناس","الحاجب","إقدار","659","10347","USFP","محمد  زوهري ","44966"
"فاس- مكناس","الحاجب","إقدار","659","10347","USFP","مونية الوتيق","44995"
"فاس- مكناس","الحاجب","إقدار","659","10352","USFP","رشيد مسعودي","36286"
"فاس- مكناس","الحاجب","إقدار","659","10352","USFP","خديجة الكرافس","36344"
"فاس- مكناس","الحاجب","إقدار","659","10349","MP","حمو عطابة","5891"
"فاس- مكناس","الحاجب","أكوراي","38","550","PI","الحسن بنعياد","65669"
"فاس- مكناس","الحاجب","أكوراي","38","550","PI","حنان هرمة","65736"
"فاس- مكناس","الحاجب","أكوراي","38","549","PI","يوسف  المسيلي","61961"
"فاس- مكناس","الحاجب","أكوراي","38","559","PI","خليد بن الرادي","65391"
"فاس- مكناس","الحاجب","أكوراي","38","559","PI","لوبنى اوفقيه","65453"
"فاس- مكناس","الحاجب","أكوراي","38","548","PI","بنيوسف اكناوي","85494"
"فاس- مكناس","الحاجب","أكوراي","38","548","PI","سعيدة خيي","85556"
"فاس- مكناس","الحاجب","أكوراي","38","557","PI","عبد الحفيظ وعشي","83959"
"فاس- مكناس","الحاجب","أكوراي","38","27191","PI","عبد الرحمان ايت احساين","65695"
"فاس- مكناس","الحاجب","أكوراي","38","27187","PI","كمال اغرابي","58825"
"فاس- مكناس","الحاجب","أكوراي","38","558","PI","محمد عوشان","61667"
"فاس- مكناس","الحاجب","أكوراي","38","552","PI","ميمون بومنيش","26753"
"فاس- مكناس","الحاجب","أكوراي","38","25608","PI","الطيب صبار","61773"
"فاس- مكناس","الحاجب","أكوراي","38","25608","PI","نورة باسو","61801"
"فاس- مكناس","الحاجب","أكوراي","38","560","PI","حسان المصطفاوي","61652"
"فاس- مكناس","الحاجب","أكوراي","38","25609","PI","علي الكرامي","46141"
"فاس- مكناس","الحاجب","أكوراي","38","555","PI","حميد انعينيع","61661"
"فاس- مكناس","الحاجب","أكوراي","38","27186","PI","محمد شراط","76953"
"فاس- مكناس","الحاجب","أكوراي","38","551","PI","حفيظ الهيدى","77290"
"فاس- مكناس","الحاجب","أكوراي","38","554","PI","محمد مساعيد","57778"
"فاس- مكناس","الحاجب","أكوراي","38","556","PI","ابراهيم افقير","49445"
"فاس- مكناس","الحاجب","أكوراي","38","27189","PI","انوار المطيشي","59803"
"فاس- مكناس","الحاجب","أكوراي","38","27184","PI","محمد ايت بوعزة","45969"
"فاس- مكناس","الحاجب","أكوراي","38","553","PJD","نجيم العزوزي","57967"
"فاس- مكناس","الحاجب","أكوراي","38","27188","PJD","الحبيب تغزة","17028"
"فاس- مكناس","الحاجب","أكوراي","38","27190","PJD","ادريس الهيدى","48395"
"فاس- مكناس","الحاجب","أكوراي","38","27185","USFP","الخمار الشركي","22338"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","1598","USFP","ملود افكوح","37333"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","1598","USFP","حبيبة النخلي","37396"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","1595","USFP","عادل ابراو","12643"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","25619","USFP","محمد اغبال","6445"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","25619","USFP","هدى عكيوي","6465"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","1593","USFP","حسن اكوب","12174"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","25618","USFP","لحسن امجاهد","37917"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","1602","PI","المصطفى خياطي","62802"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","1602","PI","اسماء ادردور","62857"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","1603","PI","الحسن احرشاو","33488"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","1603","PI","يطو بحمي","33516"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","1600","PI","سمير ازكاغ","7244"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","1594","PI","محمد اخديم","49081"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","1601","PI","حسن لبلاصة","63551"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","1599","PJD","عبد الرحيم باعدي","10475"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","1597","PAM","المصطفى  المصطفاوي ","33274"
"فاس- مكناس","الحاجب","آيت  بورزوين","109","1596","MP","الغازي والغازي","102259"
"فاس- مكناس","الحاجب","آيت بوبيدمان","106","1563","PAM","الحسان الجراري","26582"
"فاس- مكناس","الحاجب","آيت بوبيدمان","106","1563","PAM","حليمة الجراري","26605"
"فاس- مكناس","الحاجب","آيت بوبيدمان","106","1568","PAM","محمد  اوراغ ","59744"
"فاس- مكناس","الحاجب","آيت بوبيدمان","106","1568","PAM","ملودة ورشاكو","59885"
