region,province,commune,id_commune,circ,parti,candidat,id_candidat
"كلميم -واد نون","أسا - الزاك","آسا","248","3718","USFP","السالك لبكام","92175"
"كلميم -واد نون","أسا - الزاك","آسا","248","3718","USFP","بنت اخوالها بوستة","92238"
"كلميم -واد نون","أسا - الزاك","آسا","248","25424","USFP","الطاهر سغير","40461"
"كلميم -واد نون","أسا - الزاك","آسا","248","25424","USFP","زاهة المكراز","40475"
"كلميم -واد نون","أسا - الزاك","آسا","248","3715","USFP","محمود عبا","25400"
"كلميم -واد نون","أسا - الزاك","آسا","248","3721","USFP","الوافي الخرشي","19473"
"كلميم -واد نون","أسا - الزاك","آسا","248","3721","USFP","سمية بعيك","19511"
"كلميم -واد نون","أسا - الزاك","آسا","248","3716","USFP","محمد حمرو","30712"
"كلميم -واد نون","أسا - الزاك","آسا","248","3714","USFP","احمد تيكمارين","19239"
"كلميم -واد نون","أسا - الزاك","آسا","248","3725","USFP","حامدي وايسي","27083"
"كلميم -واد نون","أسا - الزاك","آسا","248","3726","USFP","سيدى احمد قيس","19154"
"كلميم -واد نون","أسا - الزاك","آسا","248","3722","USFP","محمد الاساوي","25356"
"كلميم -واد نون","أسا - الزاك","آسا","248","3720","UC","سيد احمد ايدر","7461"
"كلميم -واد نون","أسا - الزاك","آسا","248","25425","UC","محمد سالم يدر","90614"
"كلميم -واد نون","أسا - الزاك","آسا","248","3719","UC","محمد  مبارك بشي","91955"
"كلميم -واد نون","أسا - الزاك","آسا","248","3717","PAM","رشيد التامك","91203"
"كلميم -واد نون","أسا - الزاك","آسا","248","3717","PAM","ابركهم شرقي","91324"
"كلميم -واد نون","أسا - الزاك","آسا","248","3723","PAM","البشير تامك","121906"
"كلميم -واد نون","أسا - الزاك","آسا","248","3724","PI","سعيد احشاش","101536"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23662","PAM","المختار عبد الدائم","117538"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","25428","PAM","الوالي الخليفي","77953"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","25428","PAM","للا عيلول","78035"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23663","PAM","سيدي المولود اهبير","117492"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23663","PAM","المعلومة جرموني","117576"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23660","PAM","نفعي باري","56767"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23660","PAM","اسويلمة الكوناني","56817"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23656","PAM","حمادي منصور","77734"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23664","PAM","محمد كروش","117690"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23659","PAM","الطاهر لغفيري","40723"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","25427","PAM","مولود حميدة","40679"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23658","PAM","لحسن اسحلي","78508"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23661","PI","مبارك قاسم","56587"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23661","PI","فاطمة عبدالدائم","78446"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23657","PI","عثمان عيلة","57072"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23655","PI","الحسن بودعكات","57201"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23654","PI","محمد الطيب اعيش","57250"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","25429","PI","عالي الراحل","78765"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","25426","USFP","عبد الخالق خليفي","25121"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2777","RNI","الحبيب الدحمي","16659"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2777","RNI","الغويلة كرماط","16674"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2782","RNI","عياد كرماط","19605"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2779","RNI","سعيد خليفة","25261"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2778","RNI","محمد الحبيب رحاب","16612"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2774","RNI","ابراهيم راك","16638"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2781","PAM","محمد لباعلي","111450"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2775","UC","سالم شرقي","77572"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2775","UC","حبيبة من لايخاف","77713"
