region,province,commune,id_commune,circ,parti,candidat,id_candidat
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10649","PI","حسن الركيبي","10113"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10649","PI","اعزيزة طه","10149"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10658","PI","عبيدي طه","10213"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10650","PI","سلاما بن ليمام","11094"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10655","PI","احفيظة بومراح","10179"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10656","PI","مولاي عبد الله بلقاضي","10209"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10653","PI","عبد الله شنكلي","10134"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10651","PI","سعيد الداه","44591"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10651","PI","سعاد انجيم","44642"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10652","PI","مولاي المحظي بيبا","32815"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10652","PI","تسلم الراضي","32844"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10657","PI","مولاي السالك الاسماعيلي","10928"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10648","PI","محمد سالم بوسعيد","10088"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10654","PAM","مولاي بشري الحجوجي","7019"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10654","PAM","للانورة الحجوجي","7036"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","سيدي محمد الجماني","104796"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","ثورية بياض","109198"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","مولاي الحسين بنموسى","105130"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","للا غليلة بنموسى","109394"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","عبد العزيز البهلولي","105927"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","الحسين الحنصالي","106039"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","سيدي محمد الاغظف الادريسي","106224"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","رشيد الطايع","106367"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","محمد عالمي","106450"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","محمد اباحاج","106529"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","بشرايا هندود","106585"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","عمر بوداني","106692"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","سيدي محمد محمود الشيكر","108245"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","فاطمة العدلي","108437"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","سيدي ابراهيم كروم","108354"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","جميلة الهريمي","110109"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","حميد الهاشمي","108522"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","احمد الراحل","108603"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","سيدي لمام الساعد ","108779"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","محمد ضراوي","109105"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","محمد صالح ابا اعلي","109292"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","عبد الجليل  السويدين","109422"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PAM","مولاي زبير حبدي","111735"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PAM","مينة لونات","119424"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PAM","محمد الشيخ بيد الله","112170"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PAM","سعيد صافي","112340"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PAM","مولاي البشير الشرفي","112525"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PAM","عبد المجيد الادريسي","112755"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PAM","محمد لخريف","113316"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PAM","محمد علي لونات","113475"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","UC","المهدي زركو","109348"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","UC","عبيدة بوعلي","116807"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","UC","مبارك بهالي","109800"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PJD","محمد فاضل عماري","38380"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PJD","عبدالله بك","38503"
"العيون- الساقية الحمراء","السمارة","امكالة","203","3002","PI","سيدي محمد الامين الوالي","45788"
"العيون- الساقية الحمراء","السمارة","امكالة","203","2996","PI","فاطمة سيدة","15809"
"العيون- الساقية الحمراء","السمارة","امكالة","203","2996","PI","اسويلمة سيدة","15842"
"العيون- الساقية الحمراء","السمارة","امكالة","203","3001","PI","مولاي خيري الوالي","12903"
"العيون- الساقية الحمراء","السمارة","امكالة","203","2997","PI","حمد الراضي","15872"
"العيون- الساقية الحمراء","السمارة","امكالة","203","3005","PI","مولاي خطري بابوزيد","12714"
"العيون- الساقية الحمراء","السمارة","امكالة","203","3003","PI","سيدي مولاي حميم","16860"
"العيون- الساقية الحمراء","السمارة","امكالة","203","3003","PI","خديجة حما","16873"
"العيون- الساقية الحمراء","السمارة","امكالة","203","2998","PI","مولاي بلاه الوالي","84099"
"العيون- الساقية الحمراء","السمارة","امكالة","203","2995","PI","سلاما ابريه","15744"
"العيون- الساقية الحمراء","السمارة","امكالة","203","2999","PAM","عمر صبار","65094"
"العيون- الساقية الحمراء","السمارة","امكالة","203","2999","PAM","للابتة حبدي","65152"
"العيون- الساقية الحمراء","السمارة","امكالة","203","3000","PAM","مولاي احمد الحمدي","36170"
"العيون- الساقية الحمراء","السمارة","امكالة","203","3000","PAM","اتفرح  الواد نوني","36204"
"العيون- الساقية الحمراء","السمارة","امكالة","203","3004","PAM","مولاي السالك عوبا","45946"
"العيون- الساقية الحمراء","السمارة","تفاريتي","1433","22591","PI","سيدي محمد حنيني","32895"
"العيون- الساقية الحمراء","السمارة","تفاريتي","1433","22595","PI","محمد لامين بابوزيد","11564"
"العيون- الساقية الحمراء","السمارة","تفاريتي","1433","22595","PI","للامريم حنيني","11625"
"العيون- الساقية الحمراء","السمارة","تفاريتي","1433","22592","PI","مولاي خطري حنيني","32941"
"العيون- الساقية الحمراء","السمارة","تفاريتي","1433","22592","PI","ياقوتة بنموسى","32990"
"العيون- الساقية الحمراء","السمارة","تفاريتي","1433","22593","PI","اعلي حنيني","11546"
"العيون- الساقية الحمراء","السمارة","تفاريتي","1433","22594","PI","محمد سالم مسامح","17735"
"العيون- الساقية الحمراء","السمارة","تفاريتي","1433","22594","PI","متو بركات","17774"
"العيون- الساقية الحمراء","السمارة","تفاريتي","1433","22601","PI","سيدي محمد عالي بيد الله","83723"
"العيون- الساقية الحمراء","السمارة","تفاريتي","1433","22601","PI","مريم بوعيلة","83817"
"العيون- الساقية الحمراء","السمارة","تفاريتي","1433","22596","PI","سيدي حيون","11687"
"العيون- الساقية الحمراء","السمارة","تفاريتي","1433","22600","PI","اعلي لمن","11627"
"العيون- الساقية الحمراء","السمارة","تفاريتي","1433","22598","PI","محمد علي الحناني","11865"
"العيون- الساقية الحمراء","السمارة","تفاريتي","1433","22599","PI","سيدي محمد سالم البيهي","32753"
"العيون- الساقية الحمراء","السمارة","تفاريتي","1433","22597","PI","محمود عليوة","11767"
"العيون- الساقية الحمراء","السمارة","حوزة","589","9291","PAM","ابراهيم جودا","16582"
"العيون- الساقية الحمراء","السمارة","حوزة","589","9291","PAM","محجوبة جودا","16630"
"العيون- الساقية الحمراء","السمارة","حوزة","589","9296","PAM","مولاي سويليكي بوسعيد","105952"
"العيون- الساقية الحمراء","السمارة","حوزة","589","9295","PAM","محمد بيري","15738"
"العيون- الساقية الحمراء","السمارة","حوزة","589","9289","PAM","سيدي محمد الشيخ اسماعيلي","12231"
"العيون- الساقية الحمراء","السمارة","حوزة","589","9290","PAM","المامي انتيتيش","12340"
"العيون- الساقية الحمراء","السمارة","حوزة","589","9293","PAM","المهدي حنان","24029"
"العيون- الساقية الحمراء","السمارة","حوزة","589","9294","PAM","ابراهيم السالم باها","60478"
"العيون- الساقية الحمراء","السمارة","حوزة","589","9294","PAM","فاطمة صاكى","60518"
"العيون- الساقية الحمراء","السمارة","حوزة","589","9297","PAM","للاالمعلومة بوسعيد","105139"
"العيون- الساقية الحمراء","السمارة","حوزة","589","9299","PAM","احمد الحجوجي","27414"
"العيون- الساقية الحمراء","السمارة","حوزة","589","9299","PAM","سلوكة ادعى","27509"
"العيون- الساقية الحمراء","السمارة","حوزة","589","9298","PAM","محمد لمين صاكى","16016"
"العيون- الساقية الحمراء","السمارة","حوزة","589","9292","PI","محمد بيدا","45291"
"العيون- الساقية الحمراء","السمارة","حوزة","589","9292","PI","فاطمة الشيخي","45324"
"العيون- الساقية الحمراء","السمارة","سيدي احمد لعروسي","1164","18394","PI","سيدي حمودي سيبا","60700"
"العيون- الساقية الحمراء","السمارة","سيدي احمد لعروسي","1164","18394","PI","للا امباركة علينا امين","60739"
"العيون- الساقية الحمراء","السمارة","سيدي احمد لعروسي","1164","18399","PI","مولاي يحضيه الشيكر","17617"
"العيون- الساقية الحمراء","السمارة","سيدي احمد لعروسي","1164","18399","PI","للاخويتة الشيكر","17675"
"العيون- الساقية الحمراء","السمارة","سيدي احمد لعروسي","1164","18402","PI","سيدي حمد الشيكر","80073"
"العيون- الساقية الحمراء","السمارة","سيدي احمد لعروسي","1164","18402","PI","لمينة بيروكي","80114"
"العيون- الساقية الحمراء","السمارة","سيدي احمد لعروسي","1164","18397","PI","سيدي المختار الطنجي","12440"
"العيون- الساقية الحمراء","السمارة","سيدي احمد لعروسي","1164","18396","PI","محمد لغظف ابيه","81764"
"العيون- الساقية الحمراء","السمارة","سيدي احمد لعروسي","1164","18396","PI","امينتو بلموذن","81814"
"العيون- الساقية الحمراء","السمارة","سيدي احمد لعروسي","1164","18404","PI","احمد محمود رشدي","12802"
"العيون- الساقية الحمراء","السمارة","سيدي احمد لعروسي","1164","18395","PI","السعد يقوب","12608"
"العيون- الساقية الحمراء","السمارة","سيدي احمد لعروسي","1164","18401","PI","الحرطاني حامدي","12538"
"العيون- الساقية الحمراء","السمارة","سيدي احمد لعروسي","1164","18403","PI","الداه الكنتاوي","12729"
"العيون- الساقية الحمراء","السمارة","سيدي احمد لعروسي","1164","18398","PAM","مولاي لحماد عزات","80188"
"العيون- الساقية الحمراء","السمارة","سيدي احمد لعروسي","1164","18400","PAM","سيدي ابراهيم زيو","64225"
"العيون- الساقية الحمراء","العيون","الدشيرة","463","7188","PI","محمد علي اهل السباعي","3910"
"العيون- الساقية الحمراء","العيون","الدشيرة","463","7188","PI","العالية بواجلال","3786"
"العيون- الساقية الحمراء","العيون","الدشيرة","463","7192","PI","سيداتي بنمسعود","3820"
"العيون- الساقية الحمراء","العيون","الدشيرة","463","7187","PI","الشيخ  الشويعر ","13071"
"العيون- الساقية الحمراء","العيون","الدشيرة","463","7187","PI","فاطمتو ميارة","12866"
"العيون- الساقية الحمراء","العيون","الدشيرة","463","7190","PI","محمد كروم","3810"
"العيون- الساقية الحمراء","العيون","الدشيرة","463","7190","PI","الفليل امسيعيد","3785"
"العيون- الساقية الحمراء","العيون","الدشيرة","463","7196","PI","سيدي محمد السباعي","7972"
"العيون- الساقية الحمراء","العيون","الدشيرة","463","7196","PI","فاطمة السباعي","7991"
"العيون- الساقية الحمراء","العيون","الدشيرة","463","7193","PI","لحسن السباعي","3814"
"العيون- الساقية الحمراء","العيون","الدشيرة","463","7195","PI","العبادلة ملعينين","3851"
"العيون- الساقية الحمراء","العيون","الدشيرة","463","7191","PI","محمد علي منا","8073"
"العيون- الساقية الحمراء","العيون","الدشيرة","463","7194","PI","سيدي مولاي السباعي","8006"
"العيون- الساقية الحمراء","العيون","الدشيرة","463","7189","PI","احمد لعبيدي","3850"
"العيون- الساقية الحمراء","العيون","الدشيرة","463","7197","PI","احمد الزين","8031"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","مولاي حمدي ولد الرشيد","98717"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","امكملتو كمال","98214"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","احمد لخريف","98784"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","فاطمة  الادريسي","98310"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","موسى لكرواز","98842"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","نجاة الكراح","98333"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","سيدي محمد ولد الرشيد","98914"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","عائشة المعدل","98367"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","سيدي محمد صالح دداه","98907"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","للانويهة السعدي","98459"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","اعبيد مريزيك","99060"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","محمد المامون سعد بوه","99058"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","سيد احمد بهيا","99168"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","لسياد الادريسي","99182"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","مولود علوات","99266"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","مولاي لمباركي","99334"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","احمد بابا عبان","99357"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","محمد سالم بنمسعود","99470"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","اللتو محمودي","99649"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","مولاي الراكب زيو","99797"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","مريم ماء العينين شبيهنا","99980"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","ابراهيم ابريه","100077"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","امحمد الموساوي","100102"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","زكرياء المراحي","100223"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","علي ابوج","100262"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","محمد سالم الادريسي","100374"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","ابراهيم الخليل الكنتاوي","100379"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","الليبك خي","100299"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","PI","محمد سالم بنعابيدين","100543"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","RNI","احمد داهي","92568"
"العيون- الساقية الحمراء","العيون","العيون","746","25088","RNI","سلم احميميد","94068"
