region,province,commune,id_commune,circ,parti,candidat,id_candidat
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","عبد الجليل لبداوي","11385"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","لطيفة ابراهيمي","12770"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","ادريس الثمري","11416"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","فضيلة  اربيب ","12806"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","محمد الزين","11466"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","خديجة العطري","12868"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","عبد العزيز شكبير","11528"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","محمد الاجوادي","11565"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","عبداللطيف تكتور","11584"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","رضا بوكمازي","11635"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","سعيد كرضام ","11659"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","محمد العيشي","11691"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","يوسف المهيلي","11713"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","عبد الرحيم الستلاوي","11741"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","الجيلالي بنجدية","11774"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","شكيب بوكام","11794"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","نور الدين خولافي","11820"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","محمد فضي","11845"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","عبد الفتاح كناوي","11869"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","محمد الطاهر  الراقى","11906"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","هشام بوهملي","11936"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","عبد الرزاق  اواري","11951"
