region,province,commune,id_commune,circ,parti,candidat,id_candidat
"الشرق","الدريوش","أولاد أمغار","983","15523","P Al Ahd Addimocrati","محمد بوحنو","36456"
"الشرق","الدريوش","أولاد أمغار","983","15523","P Al Ahd Addimocrati","مليكة ابلحاج","36578"
"الشرق","الدريوش","أولاد أمغار","983","15530","P Al Ahd Addimocrati","حميد الدارشي","46681"
"الشرق","الدريوش","أولاد أمغار","983","15530","P Al Ahd Addimocrati","فاطمة حموتي","46733"
"الشرق","الدريوش","أولاد أمغار","983","15525","P Al Ahd Addimocrati","محمد مهتور","98927"
"الشرق","الدريوش","أولاد أمغار","983","15525","P Al Ahd Addimocrati","مريم امغاري","98804"
"الشرق","الدريوش","أولاد أمغار","983","15524","USFP","ابو القاسم الوزاني","79489"
"الشرق","الدريوش","أولاد أمغار","983","15533","USFP","تهامي الوزاني","78920"
"الشرق","الدريوش","أولاد أمغار","983","15528","USFP","عبد الواحد بوحثيق","29897"
"الشرق","الدريوش","أولاد أمغار","983","15531","USFP","محمد الغديوي","45170"
"الشرق","الدريوش","أولاد أمغار","983","15532","PAM","المصطفى بنشعيب","45281"
"الشرق","الدريوش","أولاد أمغار","983","15526","PAM","نجيب الحموتي","65766"
"الشرق","الدريوش","أولاد أمغار","983","15526","PAM","فدوى احلوش","65875"
"الشرق","الدريوش","أولاد أمغار","983","15527","PAM","احمد زواغي","44787"
"الشرق","الدريوش","أولاد أمغار","983","15529","PAM","احمد الديواني","45003"
"الشرق","الدريوش","أولاد بوبكر","990","15620","RNI","خالد بزعنين","79333"
"الشرق","الدريوش","أولاد بوبكر","990","15617","RNI","بنعيسى معضوري","58970"
"الشرق","الدريوش","أولاد بوبكر","990","15619","RNI","احمد عبو","79640"
"الشرق","الدريوش","أولاد بوبكر","990","15619","RNI","فوزاية اسباغي","79697"
"الشرق","الدريوش","أولاد بوبكر","990","15618","RNI","احساين عسو","45816"
"الشرق","الدريوش","أولاد بوبكر","990","15616","RNI","محمد بوشلاغم","45966"
"الشرق","الدريوش","أولاد بوبكر","990","15616","RNI","حليمة القدوري","45988"
"الشرق","الدريوش","أولاد بوبكر","990","15614","RNI","ميمون التابي","36014"
"الشرق","الدريوش","أولاد بوبكر","990","15610","P Al Ahd Addimocrati","امحند المرياوي","30195"
"الشرق","الدريوش","أولاد بوبكر","990","15610","P Al Ahd Addimocrati","مريم بوعنونو","30244"
"الشرق","الدريوش","أولاد بوبكر","990","15615","P Al Ahd Addimocrati","يوشتة اسروت","35186"
"الشرق","الدريوش","أولاد بوبكر","990","27085","P Al Ahd Addimocrati","الطيب البقالي","58750"
"الشرق","الدريوش","أولاد بوبكر","990","15612","P Al Ahd Addimocrati","حمو بلوط","35242"
"الشرق","الدريوش","أولاد بوبكر","990","15612","P Al Ahd Addimocrati","امينة المنصوري","35291"
"الشرق","الدريوش","أولاد بوبكر","990","15611","P Al Ahd Addimocrati","علي بوحدايد","9636"
"الشرق","الدريوش","أولاد بوبكر","990","27084","P Al Ahd Addimocrati","عبد الله احظيظ","19407"
"الشرق","الدريوش","أولاد بوبكر","990","15613","P Al Ahd Addimocrati","يونس يشو","4564"
"الشرق","الدريوش","آيت مايت","90","1361","MP","الياس بوعزاتي","67153"
"الشرق","الدريوش","آيت مايت","90","1361","MP","زرفة بوعزاتي","67370"
"الشرق","الدريوش","آيت مايت","90","1364","MP","امحمد ارخاوي","33354"
"الشرق","الدريوش","آيت مايت","90","1363","MP","المصطفى بقالي","43457"
"الشرق","الدريوش","آيت مايت","90","1363","MP","فاطمة بقالي","43558"
"الشرق","الدريوش","آيت مايت","90","1360","MP","محمد الشبابي","45013"
"الشرق","الدريوش","آيت مايت","90","1359","MP","محمد الحمديوي","33422"
"الشرق","الدريوش","آيت مايت","90","1357","MP","محمد القدوري","24952"
"الشرق","الدريوش","آيت مايت","90","1362","RNI","احمد اشن","24858"
"الشرق","الدريوش","آيت مايت","90","1362","RNI","عبيدة بولسهوب","24900"
"الشرق","الدريوش","آيت مايت","90","1366","RNI","محمد القندوسي","18981"
"الشرق","الدريوش","آيت مايت","90","1366","RNI","فلجة اسباع","19029"
"الشرق","الدريوش","آيت مايت","90","1365","RNI","محمد بقالي","18755"
"الشرق","الدريوش","آيت مايت","90","1356","RNI","الخاضر السهلي","43637"
"الشرق","الدريوش","آيت مايت","90","1358","RNI","ميمون السقلي","89580"
"الشرق","الدريوش","اتروكوت","1507","23546","PAM","محمد اقريش","4582"
"الشرق","الدريوش","اتروكوت","1507","23545","PAM","نور الدين  الخلدوني","19086"
"الشرق","الدريوش","اتروكوت","1507","23545","PAM","سناء ازحاف","19127"
"الشرق","الدريوش","اتروكوت","1507","23554","PAM","عبدالصمد العثماني","7743"
"الشرق","الدريوش","اتروكوت","1507","23554","PAM","سهام وعلي","7653"
"الشرق","الدريوش","اتروكوت","1507","23553","PAM","عمر لمكارف","4593"
"الشرق","الدريوش","اتروكوت","1507","23553","PAM","كمالية اظهشور","4598"
"الشرق","الدريوش","اتروكوت","1507","23549","PAM","رشيد بنحدو","3361"
"الشرق","الدريوش","اتروكوت","1507","23550","P Al Ahd Addimocrati","حميد  بونيو","13169"
"الشرق","الدريوش","اتروكوت","1507","23551","P Al Ahd Addimocrati","محمد احمو","13250"
"الشرق","الدريوش","اتروكوت","1507","23547","P Al Ahd Addimocrati","عبد السلام زياني","12979"
"الشرق","الدريوش","اتروكوت","1507","23552","P Al Ahd Addimocrati","سعيد افقير","13334"
"الشرق","الدريوش","اتروكوت","1507","23557","P Al Ahd Addimocrati","محمد  اقشيشو","35488"
"الشرق","الدريوش","اتروكوت","1507","23555","RNI","محمد اظهشور","35438"
"الشرق","الدريوش","اتروكوت","1507","23548","RNI","عبد السلام المرابط","35169"
"الشرق","الدريوش","اتروكوت","1507","23548","RNI","حكيمة  اجبيلو ","35235"
"الشرق","الدريوش","اتروكوت","1507","23556","MP","احمد البقالي","33550"
"الشرق","الدريوش","اتسافت","1508","23566","PAM","عمرو البارودي","56194"
"الشرق","الدريوش","اتسافت","1508","23566","PAM","ثريا البرودي","56287"
"الشرق","الدريوش","اتسافت","1508","23558","PAM","امحمد اقرقاش","39394"
"الشرق","الدريوش","اتسافت","1508","23558","PAM","هنيدة اقريش","39425"
"الشرق","الدريوش","اتسافت","1508","23561","PAM","عبد المجيد الدرقاوي","46441"
"الشرق","الدريوش","اتسافت","1508","23562","PAM","امحمد الطويلي","35046"
"الشرق","الدريوش","اتسافت","1508","23569","PAM","محمد ابركان","35754"
"الشرق","الدريوش","اتسافت","1508","23570","PAM","مجيد اليخلوفي","55959"
"الشرق","الدريوش","اتسافت","1508","23567","PAM","ابراهيم المخوخي","35281"
"الشرق","الدريوش","اتسافت","1508","23559","PAM","الحسين المزياني","35112"
"الشرق","الدريوش","اتسافت","1508","23568","PAM","رشيد الرضواني","35212"
"الشرق","الدريوش","اتسافت","1508","23565","PI","احمد بعشمير","25548"
"الشرق","الدريوش","اتسافت","1508","23565","PI","نادية الوحشي","25567"
"الشرق","الدريوش","اتسافت","1508","23560","PI","محمد اليوسفي","37445"
"الشرق","الدريوش","اتسافت","1508","23564","PJD","خالد العزوتي","76096"
"الشرق","الدريوش","اتسافت","1508","23564","PJD","سعيدة حسيني","76135"
"الشرق","الدريوش","اتسافت","1508","23563","PRD","محمد ازروال","46366"
"الشرق","الدريوش","اجرمواس","630","9925","P Al Ahd Addimocrati","محمد مشين","109938"
"الشرق","الدريوش","اجرمواس","630","9925","P Al Ahd Addimocrati","فتيحة السبعوني","110036"
"الشرق","الدريوش","اجرمواس","630","9926","P Al Ahd Addimocrati","عزالدين البعيادي","89072"
"الشرق","الدريوش","اجرمواس","630","9926","P Al Ahd Addimocrati","هدى بنطاطو","89228"
"الشرق","الدريوش","اجرمواس","630","9927","P Al Ahd Addimocrati","امحمد القدوري","104007"
"الشرق","الدريوش","اجرمواس","630","9932","P Al Ahd Addimocrati","سفيان القدوري","104638"
"الشرق","الدريوش","اجرمواس","630","9934","P Al Ahd Addimocrati","محمد  داودي","12618"
"الشرق","الدريوش","اجرمواس","630","9924","P Al Ahd Addimocrati","علي الطاوس","88738"
"الشرق","الدريوش","اجرمواس","630","9924","P Al Ahd Addimocrati","سهام البودخاني","88924"
"الشرق","الدريوش","اجرمواس","630","9933","P Al Ahd Addimocrati","علي الحزميوي","12752"
"الشرق","الدريوش","اجرمواس","630","9930","P Al Ahd Addimocrati","احمد  السبعوني","12661"
"الشرق","الدريوش","اجرمواس","630","9931","P Al Ahd Addimocrati","احمد  العباس","12701"
"الشرق","الدريوش","اجرمواس","630","9928","P Al Ahd Addimocrati","محمد  السكوري ","104206"
"الشرق","الدريوش","اجرمواس","630","9922","RNI","عبد الحميد البنعماري","88469"
"الشرق","الدريوش","اجرمواس","630","9922","RNI","وسيمة البنعماري","88605"
"الشرق","الدريوش","اجرمواس","630","9923","MP","محمد أزعوم","61241"
"الشرق","الدريوش","اجرمواس","630","9929","PJD","عبد الحفيظ فانوي","37449"
"الشرق","الدريوش","ازلاف","270","4054","PAM","محمد اوراغ","18272"
"الشرق","الدريوش","ازلاف","270","4054","PAM","فاطمة الختولي","18304"
"الشرق","الدريوش","ازلاف","270","4050","PAM","احمد الخلفيوي","18344"
"الشرق","الدريوش","ازلاف","270","4048","PAM","احمد بوقشار","18188"
"الشرق","الدريوش","ازلاف","270","4048","PAM","نعيمة بنهدي","18221"
"الشرق","الدريوش","ازلاف","270","4045","PAM","بنعيسى اليبوحي","18040"
"الشرق","الدريوش","ازلاف","270","4045","PAM","حفيظة ساح","18090"
"الشرق","الدريوش","ازلاف","270","4047","PAM","عبد السلام اليوسفي","88477"
"الشرق","الدريوش","ازلاف","270","4047","PAM","تورية البوجدايني","88641"
"الشرق","الدريوش","ازلاف","270","4049","PAM","الراضي  بوشواري ","14612"
"الشرق","الدريوش","ازلاف","270","4046","PAM","نور الدين الشبلي","18124"
"الشرق","الدريوش","ازلاف","270","4051","PAM","عباس البوزروتي","18374"
"الشرق","الدريوش","ازلاف","270","4053","PAM","محمد بشواري","18427"
"الشرق","الدريوش","ازلاف","270","4044","PJD","نور الدين بجنان","76443"
"الشرق","الدريوش","افرني","618","9740","PAM","محمد شواري","39027"
"الشرق","الدريوش","افرني","618","9742","PAM","محمد بولخريف","61075"
"الشرق","الدريوش","افرني","618","9742","PAM","اسماء محيوتي","61133"
"الشرق","الدريوش","افرني","618","9739","PAM","احمد بلخريف","61330"
"الشرق","الدريوش","افرني","618","9739","PAM","وسيمة بلخريف","61350"
"الشرق","الدريوش","افرني","618","9747","PAM","العزيز الشلوقي","46258"
"الشرق","الدريوش","افرني","618","9747","PAM","نزيهة الفروقي","46292"
"الشرق","الدريوش","افرني","618","9738","PAM","حميد البوش","38883"
"الشرق","الدريوش","افرني","618","9746","PI","احمد العساتي","78964"
"الشرق","الدريوش","افرني","618","9743","PI","يونس انديش","35397"
"الشرق","الدريوش","افرني","618","9741","PI","عبد الحليم سعلي","46396"
"الشرق","الدريوش","افرني","618","9745","PI","بغداد ازحاف","30393"
"الشرق","الدريوش","افرني","618","9748","PPS","ادريس الهروشي","47026"
"الشرق","الدريوش","افرني","618","9748","PPS","سناء البوتكمانتي","47112"
"الشرق","الدريوش","افرني","618","9744","P Al Ahd Addimocrati","محمد امياي","25477"
"الشرق","الدريوش","الدريوش","473","27087","P Al Ahd Addimocrati","موسى قلاح","7676"
"الشرق","الدريوش","الدريوش","473","26438","P Al Ahd Addimocrati","الحسن بولعوالي","36933"
"الشرق","الدريوش","الدريوش","473","26436","P Al Ahd Addimocrati","مصطفى بنعودة","7305"
"الشرق","الدريوش","الدريوش","473","26434","P Al Ahd Addimocrati","حمو الوهداني","17339"
"الشرق","الدريوش","الدريوش","473","26433","P Al Ahd Addimocrati","الحسن ابركان","17898"
"الشرق","الدريوش","الدريوش","473","27086","P Al Ahd Addimocrati","محمد طوري","37299"
"الشرق","الدريوش","الدريوش","473","26435","P Al Ahd Addimocrati","رشيد ابركان","17364"
"الشرق","الدريوش","الدريوش","473","26437","P Al Ahd Addimocrati","علي بوحدايد","7382"
"الشرق","الدريوش","الدريوش","473","26439","RNI","عبدالله البوكيلي","47062"
"الشرق","الدريوش","الدريوش","473","26439","RNI","وفاء اجرطي","46938"
"الشرق","الدريوش","الدريوش","473","26429","RNI","ميمون  الوكيلي","88809"
"الشرق","الدريوش","الدريوش","473","26429","RNI","يمينة الوكيلي","88909"
"الشرق","الدريوش","الدريوش","473","26431","RNI","محمد البوكيلي","65193"
"الشرق","الدريوش","الدريوش","473","26431","RNI","حسناء الرياني","65244"
"الشرق","الدريوش","الدريوش","473","26432","RNI","عبدالعزيز لوكيلي","44920"
"الشرق","الدريوش","الدريوش","473","26441","RNI","محمد البوكيلي","89218"
"الشرق","الدريوش","الدريوش","473","26440","MP","الحسن  المرابط","17292"
"الشرق","الدريوش","الدريوش","473","26430","MP","جمال  مروان","63380"
"الشرق","الدريوش","الدريوش","473","26430","MP","نعيمة لمهياوي","63447"
"الشرق","الدريوش","امجاو","198","2931","RNI","محمد المرابط","49450"
"الشرق","الدريوش","امجاو","198","2931","RNI","فاطمة البوبكاري","49550"
"الشرق","الدريوش","امجاو","198","2928","RNI","عبد العزيز البوبكاري","7693"
"الشرق","الدريوش","امجاو","198","2922","RNI","امحمد ازواغ","12497"
"الشرق","الدريوش","امجاو","198","2922","RNI","سامية البوبكاري","12574"
"الشرق","الدريوش","امجاو","198","2923","RNI","محمد الراشدي","63701"
"الشرق","الدريوش","امجاو","198","2927","RNI","بلعزيز ادريسي","12083"
"الشرق","الدريوش","امجاو","198","2927","RNI","فاطمة ادريسي","12244"
"الشرق","الدريوش","امجاو","198","2926","RNI","الناصر ابكري","7529"
"الشرق","الدريوش","امجاو","198","2925","RNI","عبدالقادر قاسمي","14240"
"الشرق","الدريوش","امجاو","198","2924","RNI","محمد البغدادي","7303"
"الشرق","الدريوش","امجاو","198","2929","MP","محمد بالي","47660"
"الشرق","الدريوش","امجاو","198","2929","MP","رشيدة عدا","47805"
"الشرق","الدريوش","امجاو","198","2930","PPS","احميدة ارشكار","35996"
"الشرق","الدريوش","امجاو","198","2932","PUD","عبد الواحد بلهادي","110902"
