region,province,commune,id_commune,circ,parti,candidat,id_candidat
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2145","MP","علي درهمان","16046"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2145","MP","عائشة اعراب","16094"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2148","MP","المحجوب المكي","16204"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2149","MP","احمد معزاز","16233"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2139","MP","عبد الله صاديق","20820"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2144","MP","هشام  حدادا","16162"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2144","MP","فاطيمة السيس","17193"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2140","MP","مبارك حرش اراس","24852"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2143","PAM","العربي ركيك","97334"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2143","PAM","فاطمة الزهراء اصديقن","97376"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2141","PAM","عبد العالي ايزاوي","81062"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2146","PAM","محمد لوبات","81226"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2151","PAM","محمد بن بوبدي","81689"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2142","RNI","حميد  دي","55647"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2142","RNI","خديجة  بوزيدي ","55674"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2147","UC","عبد الكريم عميمي","127429"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2150","PI","الحسن اودير","127738"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1754","MP","جدو الادريسي","9473"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1754","MP","نعيمة ابو حسوس","9491"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1759","MP","احمد رفيق","42669"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1759","MP","اصفية الرويف","43230"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1751","MP","مولود ايت حدو","93704"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1758","MP","مولاي بوعزة ادريسي","42582"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1758","MP","نورة  وعزيز","42402"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1753","MP","محمد ايت عقة نعلا","9562"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1756","PAM","لحسن واعزيز","73891"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1757","PAM","ابراهيم اوباحة","42656"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1760","PAM","محمد وطلحة","43570"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1760","PAM","لطيفة والفقيه","43612"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1750","PAM","علي بوهاد","73938"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1752","PAM","محمد محاسين","42605"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1755","RNI","لحسن ايت بن مسعود","12967"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1774","MP","محمد لحموش","76020"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1774","MP","خدوج العلواني","75969"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1781","MP","رشيد المحجوبي","73700"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1781","MP","حليمة بخو","73645"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1779","MP","رحو بطيح","75806"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1785","MP","عبد السلام لوبات","73788"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1775","MP","امبارك اليزيدي","77307"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1777","MP","مسعود منصوري","58450"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1777","MP","مارية منصوري","58327"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1783","MP","حسان اريفي","73684"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1784","PAM","موسى خيي","58733"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1776","PAM","جواد ادريسي","13693"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1778","PPS","فاطمة الميلغ","58191"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1778","PPS","جميلة الاولى","57730"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1786","PPS","حاكم بويسحاق","73815"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1782","PPS","عبد الرحيم منان","8066"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1780","PI","لحسن مصلة","84909"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1519","MDS","سعيد بوطيب","10960"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1516","MDS","موسى جاتو","19733"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1516","MDS","ماجدة بسام","19745"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1511","MDS","طارق طيشة","3626"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1517","MDS","عبد الكريم المنصوري","57754"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1513","MDS","عبدالكريم بنجعني","52043"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1514","MDS","اعلي بكسات ","19702"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1514","MDS","يامنة بكسات","19682"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1520","MDS","بوعزة المغاط","10357"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1510","RNI","ملوك عموري","115533"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1510","RNI","لكبيرة الطالع","115674"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1518","RNI","العربي الصبار","114751"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1512","RNI","محمد الشحاني","113995"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1512","RNI","خديجة ابيدة","114175"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1515","RNI","لمصدق درقوش","114340"
"الرباط -سلا -القنيطرة","الخميسات","آيت بويحيى الحجامة","110","1612","RNI","حمادي هاشيمي","9895"
"الرباط -سلا -القنيطرة","الخميسات","آيت بويحيى الحجامة","110","1612","RNI","فدوى الهاشمي","9928"
"الرباط -سلا -القنيطرة","الخميسات","آيت بويحيى الحجامة","110","1611","RNI","زين العابدين اعنبو","44352"
"الرباط -سلا -القنيطرة","الخميسات","آيت بويحيى الحجامة","110","1611","RNI","نجلاء تغزاوي","49944"
"الرباط -سلا -القنيطرة","الخميسات","آيت بويحيى الحجامة","110","1608","RNI","محمد البرواني","3822"
"الرباط -سلا -القنيطرة","الخميسات","آيت بويحيى الحجامة","110","1614","RNI","ادريس قازة","3675"
"الرباط -سلا -القنيطرة","الخميسات","آيت بويحيى الحجامة","110","1605","MDS","عبدالالاه هرموش","115830"
"الرباط -سلا -القنيطرة","الخميسات","آيت بويحيى الحجامة","110","1610","MDS","محمد عبد الحق","9734"
"الرباط -سلا -القنيطرة","الخميسات","آيت بويحيى الحجامة","110","1609","MDS","ادريس العقاوي","11563"
"الرباط -سلا -القنيطرة","الخميسات","آيت بويحيى الحجامة","110","1604","MDS","سعيد  شهبون ","15672"
"الرباط -سلا -القنيطرة","الخميسات","آيت بويحيى الحجامة","110","1613","PAM","ادريس شبار","51916"
"الرباط -سلا -القنيطرة","الخميسات","آيت بويحيى الحجامة","110","1613","PAM","الهام القمش","51750"
"الرباط -سلا -القنيطرة","الخميسات","آيت بويحيى الحجامة","110","1607","PI","ادريس الفريتحي","113766"
"الرباط -سلا -القنيطرة","الخميسات","آيت بويحيى الحجامة","110","1607","PI","حفيظة بن زايد","121830"
"الرباط -سلا -القنيطرة","الخميسات","آيت بويحيى الحجامة","110","1606","PI","خاليد قرواش","28890"
"الرباط -سلا -القنيطرة","الخميسات","آيت سيبرن","160","2271","MP","محمد رحيمو","107304"
"الرباط -سلا -القنيطرة","الخميسات","آيت سيبرن","160","2271","MP","الهام بن عيشة","107354"
"الرباط -سلا -القنيطرة","الخميسات","آيت سيبرن","160","2278","MP","عبد العالي القرفادي","63120"
