region,province,commune,id_commune,circ,parti,candidat,id_candidat
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PJD","سعيد عطواني","26608"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PJD","سهام الدوكي","26834"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PJD","سعيد احيحي","26653"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PJD","مينة واهر","26856"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PJD","عبد الواحد يكيمدران","26690"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PJD","ابراهيم ايت بندرى","26722"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PJD","حسن المودن","26743"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PJD","السعيد الشافي","26775"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PJD","محمد اكجضاض","26791"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PJD","محمود الضعزيز","26823"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PAM","الحسن بلقاضي","104472"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PAM","مليكة عضيض","107559"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PAM","عبد الله ازيكي","104600"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PAM","سميرة بعشرة","107614"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PAM","عبد الرحيم حابوت","104663"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PAM","الحسن علامي","104715"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PAM","ابراهيم الهم","104800"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PAM","عبد الله ادوش","104857"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","PAM","عبد اللطيف اقتيب","105954"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","USFP","علي بندا��ا","5238"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","USFP","سناء بودركة","5897"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","USFP","حسن ابوزيا","5312"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","USFP","عمر ازورداز","5365"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","USFP","سعيد بوزري","5404"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","USFP","محمد الكمودي","5433"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","RNI","عبد الله كمانو","126036"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","RNI","نجاة العمري","127862"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","RNI","محمد  الغوزال","126105"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","3328","RNI","محمد اوناصر","126166"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10190","RNI","محمد ايهوم","10210"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10190","RNI","فاضمة بفنزي","91747"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10194","RNI","حسن اريج","33162"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10191","RNI","عبد الله مسعودي","106352"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10199","RNI","مولاي الحسن المودن","28596"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10199","RNI","خديجة اهناين","28647"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10193","RNI","محند اضرضور","128570"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10196","RNI","احمد بلكاهي","50849"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10197","RNI","احمد بوخنفر","28977"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10197","RNI","عائشة اطرماد","29037"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10195","RNI","ابراهيم المودن","91555"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10198","RNI","محند امين","28926"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10189","PI","جمال الدين اطبير","98216"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10192","USFP","عمر الحاني","91615"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10192","USFP","حبيبة شهريض","91661"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","3997","PPS","محمد بوخنفر","10316"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4003","PPS","محمد اخياط","19197"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4003","PPS","خديجة الحيان","19237"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4002","PPS","محمد ابركتن","33322"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","3999","PPS","احمد الحيان","19352"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4006","RNI","الحسن زاهيم","51038"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4005","RNI","محمد بتشكط","98375"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4006","RNI","فاطمة  بنسعيد","51077"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4000","RNI","محمد افراح","91850"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4004","RNI","سعيد اويوس","33277"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4007","USFP","مولاي احمد ايت الشيخ","98274"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4007","USFP","زينب ايت الشيخ","98299"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","3998","PJD","عبد الرحمن أماز","98749"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","3998","PJD","فاطمة بعرور","98795"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4001","PAM","ميلود الحيان","91902"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9731","RNI","الحسين بزكرا","104080"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9731","RNI","خديجة سمي","104186"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9727","RNI","محمد افقير","103116"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9727","RNI","زينب ايت مومن","103280"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9728","RNI","الحسن ايت ادريس","102302"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9733","RNI","عبدالله بن دريوش","101797"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9729","PAM","محند شكايح","101622"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9736","PAM","ابراهيم ايت موسى","114165"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9735","USFP","حسن منير ","103781"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9735","USFP","عائشة اسرار","103848"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9730","USFP","محمد غريب","101947"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9737","PJD","حميد  اشتوك","102413"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9732","PI","احمد فارس","101711"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9734","PI","حسن ايت المحجوب","103916"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9734","PI","نعيمة الحموشي","103991"
"سوس- ماسة","أكادير- إدا وتنان","اقصري","228","3365","RNI","عبد الله شكدروح","95753"
"سوس- ماسة","أكادير- إدا وتنان","اقصري","228","3365","RNI","فاطمة برتهمان","95765"
"سوس- ماسة","أكادير- إدا وتنان","اقصري","228","3364","RNI","علي المحجوبي","95713"
"سوس- ماسة","أكادير- إدا وتنان","اقصري","228","3364","RNI","مليكة ازروال","95728"
"سوس- ماسة","أكادير- إدا وتنان","اقصري","228","3368","RNI","ابراهيم امغار","95655"
"سوس- ماسة","أكادير- إدا وتنان","اقصري","228","3362","RNI","احمد اكزوم","100525"
