region,province,commune,id_commune,circ,parti,candidat,id_candidat
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26653","PAM","عبد الله الخطابي","73837"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26653","PAM","امينة اوليدي","73856"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26651","PAM","محمد الخطابي","73778"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26651","PAM","فوزية بن دحمان","73806"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26657","PAM","عبد الاله الحتاش ","51877"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26650","PAM","محند الكوطة","49353"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26654","PAM","سمير مسعودي","73647"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26654","PAM","امل بندحمان","73678"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26652","PAM","عبد المجيد بودرة","51973"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26656","PAM","احمد بوزبع","85063"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26659","PAM","علي  بلحاج","49016"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26660","PAM","سليمان القدوري","45474"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26655","USFP","عبد الحكيم الخطابي","92358"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26655","USFP","كريمة المسعودي","92376"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26658","USFP","محمد اقبال","133984"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1854","PAM","محمد العلاوي","28342"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1854","PAM","سميرة الزكريتي","28363"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1850","PAM","فكري بلحسن","28386"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1850","PAM","وسيمة دلوح","28402"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1855","PAM","عبد الناصر الصالحي","80988"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1853","PAM","عمر  الصديقي","100210"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1852","PAM","صديق اصريح","38171"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1846","PAM","ا سماعيل بلحسن","28418"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1845","PAM","محمد الفقيري","99853"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","27049","PAM","عبد الحميد الخماري","29912"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1851","PAM","شاكر المساوي","25492"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1849","PAM","محمد دالوح","133762"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1848","P Néo-Démocrates","محمد الخناشي","91370"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1848","P Néo-Démocrates","نجمة امزغار","91777"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","27048","P Néo-Démocrates","ياسين الفاسي","47486"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1847","PJD","محمد بنعلي","100165"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1847","PJD","خليصة بنعلي","100039"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2405","USFP","فريد الأكروحي","74123"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2405","USFP","فدوة اورحو","72000"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2398","USFP","عبد الحق امغار","126280"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2398","USFP","رندة اولاد سيدي علي","73669"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2402","USFP","محمد واعروص","50858"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2404","USFP","وليد لمقدم","6870"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2400","USFP","مراد اقني","70157"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2408","USFP","عبدالحفيظ اندلوسي","6896"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2403","USFP","سليمان بوبوح","51020"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2399","PAM","عمر اكروح","53331"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2399","PAM","رشيدة احمجيق","53410"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2401","PAM","حمادي بنعودة","36218"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2401","PAM","عواطف بلغدش","36256"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","27052","PAM","احمد لعشير","17136"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2407","PAM","محمد املو","51291"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","27053","PAM","امحمد بنعيسى","36162"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2410","PAM","عبد الرشيد اقبيع","70090"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2406","UMD","رشيد اليونسي","74106"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2409","UMD","حسن قوقوش","51616"
"طنجة- تطوان -الحسيمة","الحسيمة","اربعاء تاوريرت","236","3463","PAM","فريد البوطاهري","47572"
"طنجة- تطوان -الحسيمة","الحسيمة","اربعاء تاوريرت","236","3463","PAM","مليكة الطاهري","47786"
"طنجة- تطوان -الحسيمة","الحسيمة","اربعاء تاوريرت","236","3468","PAM","احمد السهلي","27894"
"طنجة- تطوان -الحسيمة","الحسيمة","اربعاء تاوريرت","236","3468","PAM","فضيلة الطاهري","27876"
"طنجة- تطوان -الحسيمة","الحسيمة","اربعاء تاوريرت","236","3467","PAM","محمد افقير","27917"
"طنجة- تطوان -الحسيمة","الحسيمة","اربعاء تاوريرت","236","3464","PAM","عبد الرحمان المكنفي","28415"
"طنجة- تطوان -الحسيمة","الحسيمة","اربعاء تاوريرت","236","3464","PAM","حنان افقير","28385"
"طنجة- تطوان -الحسيمة","الحسيمة","اربعاء تاوريرت","236","3470","PAM","عمر المسعودي","23428"
"طنجة- تطوان -الحسيمة","الحسيمة","اربعاء تاوريرت","236","3471","PAM","عمر  المرابط","46937"
"طنجة- تطوان -الحسيمة","الحسيمة","اربعاء تاوريرت","236","3472","PAM","يوسف ازكير","28858"
"طنجة- تطوان -الحسيمة","الحسيمة","اربعاء تاوريرت","236","3465","PI","عمر الموساوي","91286"
"طنجة- تطوان -الحسيمة","الحسيمة","اربعاء تاوريرت","236","3465","PI","فاطمة الشهبوني","90931"
"طنجة- تطوان -الحسيمة","الحسيمة","اربعاء تاوريرت","236","3466","PI","عبد الغفور الكموني","81897"
"طنجة- تطوان -الحسيمة","الحسيمة","اربعاء تاوريرت","236","3462","PI","ميمون اكوح","72934"
"طنجة- تطوان -الحسيمة","الحسيمة","اربعاء تاوريرت","236","3469","PI","حسن بحيدة","72471"
"طنجة- تطوان -الحسيمة","الحسيمة","ارواضي","1104","17323","PAM","احمد اهروش","73950"
"طنجة- تطوان -الحسيمة","الحسيمة","ارواضي","1104","17323","PAM","ليلى عسام","86676"
"طنجة- تطوان -الحسيمة","الحسيمة","ارواضي","1104","17326","PAM","رشيد احصاد","106591"
"طنجة- تطوان -الحسيمة","الحسيمة","ارواضي","1104","17327","PAM","المصطفى شبوت","73962"
"طنجة- تطوان -الحسيمة","الحسيمة","ارواضي","1104","17322","PAM","فواد اعلالا","85780"
"طنجة- تطوان -الحسيمة","الحسيمة","ارواضي","1104","17320","PAM","منير المرابط","79358"
"طنجة- تطوان -الحسيمة","الحسيمة","ارواضي","1104","17320","PAM","امينة بلحاج","81251"
"طنجة- تطوان -الحسيمة","الحسيمة","ارواضي","1104","17329","PAM","عبيد اقنيبس","76031"
"طنجة- تطوان -الحسيمة","الحسيمة","ارواضي","1104","17325","PAM","جمال بنحتال","73980"
"طنجة- تطوان -الحسيمة","الحسيمة","ارواضي","1104","17324","USFP","عبدالكريم البوزيري","67413"
"طنجة- تطوان -الحسيمة","الحسيمة","ارواضي","1104","17324","USFP","الويزة السوسي","133849"
"طنجة- تطوان -الحسيمة","الحسيمة","ارواضي","1104","17328","PI","محمد العباس","92770"
"طنجة- تطوان -الحسيمة","الحسيمة","ارواضي","1104","17328","PI","نسرين عيسى","92702"
"طنجة- تطوان -الحسيمة","الحسيمة","ارواضي","1104","17321","PI","نور الدين البوزيدي","79118"
"طنجة- تطوان -الحسيمة","الحسيمة","ارواضي","1104","17330","PADS","احمد  العزوزي","66872"
"طنجة- تطوان -الحسيمة","الحسيمة","ازمورن","670","10484","PAM","محمد بوزختي","90699"
"طنجة- تطوان -الحسيمة","الحسيمة","ازمورن","670","10484","PAM","شيماء  افقير ","90533"
"طنجة- تطوان -الحسيمة","الحسيمة","ازمورن","670","10486","PAM","احمد الفليني","74509"
"طنجة- تطوان -الحسيمة","الحسيمة","ازمورن","670","10486","PAM","نبيلة حراز","71734"
"طنجة- تطوان -الحسيمة","الحسيمة","ازمورن","670","10479","PAM","يذير البنوضي","73901"
"طنجة- تطوان -الحسيمة","الحسيمة","ازمورن","670","10479","PAM","فدوى حوريكي","71782"
