region,province,commune,id_commune,circ,parti,candidat,id_candidat
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27995","RNI","بدر التوامي","42032"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27995","RNI","فاطمة الزهراء برعوز","42143"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27991","RNI","زوبيدة طالب","21899"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","28001","PAM","محمد الواحدي","21676"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","28001","PAM","حسناء بلخير","21741"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27987","PSU","عادل ناعيم","47161"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27987","PSU","هجر  خالد","47221"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27990","PAM","بدر الدين ناجح فوزي","102319"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27993","RNI","عبدالله كعدود","22015"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","28003","PAM","حسن ايت تدارت","25776"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","28004","PAM","المصطفى وطالب","13902"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27982","PAM","محمد  الحبشي ","48581"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27982","PAM","مليكة واعلا","48626"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27986","PAM","عبد القادر غرنيط","527"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","28002","RNI","ابراهيم بولعوان","47344"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27992","PAM","بدرالدين  بوجنوي ","1283"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27983","PAM","سعيد  خويا موح","6745"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","28006","RNI","ياسين خرواش","29778"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27994","PAM","حسن ايتولعيد","1396"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27996","RNI","جمال اتغلياست","33186"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","28000","RNI","عاشور ملوي","119426"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27988","RNI","زهير ايتلحسن","22736"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27988","RNI","خدوجة العافيفي","22787"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27984","RNI","محند تابث","29670"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","28005","PAM","عبد الكريم حقي","15485"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27985","PAM","عزيز خويا موح","6653"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27989","PAM","حدو ايت خوي علي","10935"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27998","PAM","سعيد الوهابي","21206"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27997","PAM","نور الدين الحمزاوي","755"
"بني ملال -خنيفرة","أزيلال","أزيلال","268","27999","RNI","سعيد ايت حساين","58521"
"بني ملال -خنيفرة","أزيلال","أفورار","19","231","PI","محمد اوحمي","274"
"بني ملال -خنيفرة","أزيلال","أفورار","19","231","PI","نورة حساني","348"
"بني ملال -خنيفرة","أزيلال","أفورار","19","230","PI","صالح حيون","6244"
"بني ملال -خنيفرة","أزيلال","أفورار","19","230","PI","نعيمة اعزيزي","6311"
"بني ملال -خنيفرة","أزيلال","أفورار","19","234","RNI","احمد بويقوشان","93"
"بني ملال -خنيفرة","أزيلال","أفورار","19","234","RNI","حفيظة اقدار","133"
"بني ملال -خنيفرة","أزيلال","أفورار","19","232","MP","عبد الرحمان اعموم","59740"
"بني ملال -خنيفرة","أزيلال","أفورار","19","232","MP","فاتيحا رحلي","59780"
"بني ملال -خنيفرة","أزيلال","أفورار","19","227","PI","مروان سعدوي","1199"
"بني ملال -خنيفرة","أزيلال","أفورار","19","237","MP","موحى بنيشو","25210"
"بني ملال -خنيفرة","أزيلال","أفورار","19","237","MP","حفيظة جلال","25260"
"بني ملال -خنيفرة","أزيلال","أفورار","19","239","MP","المصطفى حسناوي","32695"
"بني ملال -خنيفرة","أزيلال","أفورار","19","243","MP","حسان انصار","14611"
"بني ملال -خنيفرة","أزيلال","أفورار","19","233","MP","محمد اغزان","27602"
"بني ملال -خنيفرة","أزيلال","أفورار","19","238","MP","سعيد الرداد","64258"
"بني ملال -خنيفرة","أزيلال","أفورار","19","249","RNI","حفيظ معروف","51652"
"بني ملال -خنيفرة","أزيلال","أفورار","19","235","MP","محمد البوابراهيمي","130121"
"بني ملال -خنيفرة","أزيلال","أفورار","19","246","RNI","بناصر حيمى","85517"
"بني ملال -خنيفرة","أزيلال","أفورار","19","228","MP","رشيد القرواني","61931"
"بني ملال -خنيفرة","أزيلال","أفورار","19","247","RNI","بناصر يسفي","1146"
"بني ملال -خنيفرة","أزيلال","أفورار","19","248","PAM","اسامة افرني","62058"
"بني ملال -خنيفرة","أزيلال","أفورار","19","241","MP","حميد جلال","36781"
"بني ملال -خنيفرة","أزيلال","أفورار","19","242","RNI","المصطفى اعموم","85081"
"بني ملال -خنيفرة","أزيلال","أفورار","19","240","RNI","محمد وزمي","177"
"بني ملال -خنيفرة","أزيلال","أفورار","19","229","MP","ابراهيم الرداد","1333"
"بني ملال -خنيفرة","أزيلال","أفورار","19","236","RNI","محمد ايشو","2486"
