region,province,commune,id_commune,circ,parti,candidat,id_candidat
"الدار البيضاء-سطات","الجديدة","أزمور","264","27962","RNI","صالح بوغابة","81085"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27962","RNI","فاطمة الزهراء  رحموني","81129"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27970","RNI","المهدي  يسيف","229"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27957","USFP","زكرياء سملالي","59361"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27971","USFP","المصطفى البيدوري","47632"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27969","USFP","ايوب سيلبوهالي","49114"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27964","PI","كنزة بوعروة","136258"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27964","PI","نجية الوشيني","136428"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27980","RNI","عبد الرحمان خياطي","11423"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27979","USFP","بوشعيب ابو المواهب","47302"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27975","RNI","محمد السنتوسي","13122"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27981","USFP","رشيدة الكاس","48413"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27972","USFP","حسن روحال","40449"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27959","RNI","عبد العزيز بركو","956"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27961","USFP","نجيم اقياس","47714"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27974","USFP","محمد البوهالي ","59222"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27974","USFP","فوزية بحري","59255"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27958","RNI","ايوب فلاج","3612"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27973","USFP","بوشعيب الحركاتي","46885"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27960","USFP","المهدي بوخنيفي","36744"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27963","RNI","ادريس محاند","3699"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27966","RNI","عبدالكريم بداوي","11639"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27966","RNI","حسناء لعروسي","11718"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27965","RNI","رضى جبوري","23240"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27965","RNI","نجلاء العباسي","23334"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27977","USFP","عبد الله حسان","47526"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27978","RNI","عبد الفتاح الشيباني","12014"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27967","RNI","كريم بيوض","1178"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27976","UC","بوشعيب المودان","100475"
"الدار البيضاء-سطات","الجديدة","أزمور","264","27968","RNI","هشام بوخليفي","3771"
