region,province,commune,id_commune,circ,parti,candidat,id_candidat
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3355","PI","الشيخ احمد بنان","5154"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3355","PI","السالكة بنان","5092"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3352","PI","الشريف الخطاط","17701"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3352","PI","مانتو ماء العينين","17586"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3358","PI","بشرايا بنان","5057"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3358","PI","ثريا الخطاط","5012"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3351","PI","الشيخ بنان","5287"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3351","PI","العملة الكوري","5220"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3354","RNI","عثمان الزروالي","7019"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3353","PI","محمد ماء العينين","2365"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3353","PI","اغلانة ماء العينين","2422"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3360","PI","الشيخ مسكة","7239"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3361","PI","حسنا مسكة","2549"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3359","PI","احمد الشين","2420"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3357","PI","الشيخ هبدى","53368"
"الداخلة- وادي الذهب","أوسرد","أوسرد","227","3356","RNI","باهي بوعيلا","15724"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","501","MP","احمد ديدى","40996"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","501","MP","الغالية اباه ","41095"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","504","RNI","الشيخ شماد","108806"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","504","RNI","اسماء بلال","108920"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","508","PI","مولاي الحسن الشريف","5931"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","507","PI","محمد اهل احمد ابراهيم","5744"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","507","PI","حياة اهل احمد ابراهيم","5796"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","500","RNI","الهيبة ادليمي","108857"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","500","RNI","النانة الكنتاوي","108932"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","506","PI","افضيلي اهل احمد ابراهيم","14726"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","506","PI","نبغوها لمباركي","14785"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","510","RNI","خاليهن ديدا","5162"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","502","PI","محمد فاضل هنوني","5829"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","509","PI","سيد احمد اهل احمد ابراهيم","24401"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","505","PI","محمود اهل خيرالله","2328"
"الداخلة- وادي الذهب","أوسرد","اغوينيت","34","503","PI","محمود  بومهدي","5741"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24199","PI","محمد سالم باهي","5401"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24199","PI","غلة باهي","5516"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24198","PI","محمد باهي","5258"
"الداخلة- وادي الذهب","أوسرد","الزوك","1544","24195","PI","عبد المولى ازويني","5885"
