region,province,commune,id_commune,circ,parti,candidat,id_candidat
"درعة -تافيلالت","الرشيدية","أرفود","239","3527","UC","علي  كراوي","37049"
"درعة -تافيلالت","الرشيدية","أرفود","239","3527","UC","فاطمة اوقجان","37188"
"درعة -تافيلالت","الرشيدية","أرفود","239","3542","MDS","محمد ايت خويا موح","40399"
"درعة -تافيلالت","الرشيدية","أرفود","239","3542","MDS","مريم بوحودة","40875"
"درعة -تافيلالت","الرشيدية","أرفود","239","3536","MDS","مولاي الحبيب  الرشيد علوي","59923"
"درعة -تافيلالت","الرشيدية","أرفود","239","27448","MDS","الخلافه النحلي","60118"
"درعة -تافيلالت","الرشيدية","أرفود","239","3531","MDS","يونس مديقي","50751"
"درعة -تافيلالت","الرشيدية","أرفود","239","3533","MDS","عبيد بن احمد","60731"
"درعة -تافيلالت","الرشيدية","أرفود","239","3533","MDS","سميرة بوطيب","60804"
"درعة -تافيلالت","الرشيدية","أرفود","239","3538","MDS","عبد الغاني حمداوي","58104"
"درعة -تافيلالت","الرشيدية","أرفود","239","3538","MDS","خديجة اصغير","58141"
"درعة -تافيلالت","الرشيدية","أرفود","239","3523","MDS","اسماعيل بلحسان","115943"
"درعة -تافيلالت","الرشيدية","أرفود","239","3543","MDS","عمر جناني","69100"
"درعة -تافيلالت","الرشيدية","أرفود","239","3544","MDS","حميمين مساوي","59794"
"درعة -تافيلالت","الرشيدية","أرفود","239","3537","MDS","عبد الصمد الهواورة","63420"
"درعة -تافيلالت","الرشيدية","أرفود","239","3545","MDS","عبد الواحد مساوي","80248"
"درعة -تافيلالت","الرشيدية","أرفود","239","3541","UC","عمرو ودي","42261"
"درعة -تافيلالت","الرشيدية","أرفود","239","3541","UC","عائشة نقوط","42446"
"درعة -تافيلالت","الرشيدية","أرفود","239","3526","MDS","محمد لعالم","59420"
"درعة -تافيلالت","الرشيدية","أرفود","239","27449","MDS","مصطفى المحمدي","60019"
