region,province,commune,id_commune,circ,parti,candidat,id_candidat
"فاس- مكناس","الحاجب","إقدار","659","10351","PPS","عبدالعزيز حجري","28109"
"فاس- مكناس","الحاجب","إقدار","659","10351","PPS","حورية حمزاوي","28148"
"فاس- مكناس","الحاجب","إقدار","659","10344","PPS","حدو العزوي","27889"
"فاس- مكناس","الحاجب","إقدار","659","10344","PPS","فاطمة ناصري","27988"
"فاس- مكناس","الحاجب","إقدار","659","10347","RNI","محمد  زوهري ","14164"
"فاس- مكناس","الحاجب","إقدار","659","10343","PI","بنسالم  افود","13527"
"فاس- مكناس","الحاجب","إقدار","659","10353","PPS","المصطفى باعمو","24512"
"فاس- مكناس","الحاجب","إقدار","659","10353","PPS","حسناء اكرام","24581"
"فاس- مكناس","الحاجب","إقدار","659","10346","RNI","عماد رزوقي","13405"
"فاس- مكناس","الحاجب","إقدار","659","10350","RNI","عبد المالك ايت بوعزة","12881"
"فاس- مكناس","الحاجب","إقدار","659","10348","PPS","كريم علاوي","34699"
"فاس- مكناس","الحاجب","إقدار","659","10348","PPS","لوبنة التهالي ","34756"
"فاس- مكناس","الحاجب","إقدار","659","10352","PPS","لحسن بومرسيط","28358"
"فاس- مكناس","الحاجب","إقدار","659","10341","PPS","عبدالواحد فران","29458"
"فاس- مكناس","الحاجب","إقدار","659","10345","PPS","محمد اعراب","25402"
"فاس- مكناس","الحاجب","إقدار","659","10349","PPS","محمد شوهان","24757"
"فاس- مكناس","الحاجب","إقدار","659","10349","PPS","عاشوراء عطاب��","24800"
"فاس- مكناس","الحاجب","إقدار","659","10342","PI","عبدالـله باعمو","12631"
"فاس- مكناس","الحاجب","أكوراي","38","558","PI","محمد عوشان","126702"
"فاس- مكناس","الحاجب","أكوراي","38","549","PI","يوسف المسيلي","127179"
"فاس- مكناس","الحاجب","أكوراي","38","549","PI","مريم عتماري","127226"
"فاس- مكناس","الحاجب","أكوراي","38","550","PI","الحسن بنعياد","126300"
"فاس- مكناس","الحاجب","أكوراي","38","550","PI","نوال بن الهاشمي","126362"
"فاس- مكناس","الحاجب","أكوراي","38","555","PJD","عبدالكريم شجرة","51489"
"فاس- مكناس","الحاجب","أكوراي","38","555","PJD","فاطمة النيفر","51551"
"فاس- مكناس","الحاجب","أكوراي","38","548","PI","رفاق الجلجال","123040"
"فاس- مكناس","الحاجب","أكوراي","38","548","PI","نزهة  علالي","123177"
"فاس- مكناس","الحاجب","أكوراي","38","27189","RNI","عزيز اعراب","46960"
"فاس- مكناس","الحاجب","أكوراي","38","559","PI","خليد بن الرادي","127053"
