region,province,commune,id_commune,circ,parti,candidat,id_candidat
"كلميم -واد نون","أسا - الزاك","آسا","248","3718","PAM","السالك لبكام","137506"
"كلميم -واد نون","أسا - الزاك","آسا","248","3718","PAM","البتول تمكدى","137918"
"كلميم -واد نون","أسا - الزاك","آسا","248","3717","PAM","رشيد التامك","110152"
"كلميم -واد نون","أسا - الزاك","آسا","248","3717","PAM","ابركهم شرقي","110243"
"كلميم -واد نون","أسا - الزاك","آسا","248","25424","PAM","الطاهر سغير","5225"
"كلميم -واد نون","أسا - الزاك","آسا","248","25424","PAM","مريم الغدال","5371"
"كلميم -واد نون","أسا - الزاك","آسا","248","3715","USFP","محمود عبا","48208"
"كلميم -واد نون","أسا - الزاك","آسا","248","3719","PAM","شكاف التامك","1000"
"كلميم -واد نون","أسا - الزاك","آسا","248","3719","PAM","سكينة بيلة","1060"
"كلميم -واد نون","أسا - الزاك","آسا","248","3721","PAM","مولود كريمز","36425"
"كلميم -واد نون","أسا - الزاك","آسا","248","3721","PAM","خديجة الغدال","36540"
"كلميم -واد نون","أسا - الزاك","آسا","248","25425","USFP","النعمة ايدر","869"
"كلميم -واد نون","أسا - الزاك","آسا","248","3726","RNI","المحجوب توتاي","50115"
"كلميم -واد نون","أسا - الزاك","آسا","248","3716","RNI","الوالي بنك","34201"
"كلميم -واد نون","أسا - الزاك","آسا","248","3720","USFP","سيد احمد ايدر","1070"
"كلميم -واد نون","أسا - الزاك","آسا","248","3725","USFP","سعيد عدي","34361"
"كلميم -واد نون","أسا - الزاك","آسا","248","3723","RNI","الناجم احيرا","3428"
"كلميم -واد نون","أسا - الزاك","آسا","248","3714","PJD","عالي بوتقلمونت","27104"
"كلميم -واد نون","أسا - الزاك","آسا","248","3722","RNI","احمد المتوكل","22491"
"كلميم -واد نون","أسا - الزاك","آسا","248","3724","PAM","احمد بوغدا","22605"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23661","PAM","مبارك قاسم","8973"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23661","PAM","سكينة المطاطي","9317"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23662","PAM","المختار عبد الدائم","4209"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","25428","RNI","مصطفى عماي","9356"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","25428","RNI","مريم  بلحلات","9384"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23660","PAM","محمد مرشيد","76533"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23660","PAM","عزيزة عكيدة","76664"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23663","USFP","محمد الهراس","3504"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23663","USFP","نعيمة بودعكا","3579"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23659","PAM","الطاهر لغفيري","1785"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","25427","USFP","مولود حميدة","1955"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23655","USFP","حسن الدين عبددايم","6493"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23655","USFP","نعيمة ابومديان","6433"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23656","PAM","سيدي المولود اهبير","13352"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23664","RNI","محمد كروش","30289"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23657","PAM","خطري قاسم","1609"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","25426","USFP","صالح اراح","1518"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23654","PAM","محمد الطيب اعيش","2010"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","25429","PI","الحسن بلا","34610"
"كلميم -واد نون","أسا - الزاك","الزاك","1512","23658","PAM","نفعي باري","3918"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2773","MP","محمود ابيدار","120052"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2773","MP","نجاة ابدار","120195"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2772","MP","لبات شيهب","39719"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2772","MP","عزيزة باحيج","39835"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2781","PI","محمد فاضل اولاد ابيه","120901"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2781","PI","فاطمة لباعلي","121010"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2777","PUD","الحبيب الدحمي","8234"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2777","PUD","خولة سيبا","8319"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2775","PUD","محمدو امجكر","121161"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2775","PUD","حبيبة من لايخاف","121250"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2782","PAM","محمود خبيزة","1066"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2774","PUD","ابراهيم راك","6468"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2776","USFP","محمد سالم بيدار","43553"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2779","PUD","سعيد خليفة","38910"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2780","PUD","فتيحة لحمامي","37901"
"كلميم -واد نون","أسا - الزاك","المحبس","188","2778","PUD","محمد الحبيب رحاب","145347"
"كلميم -واد نون","أسا - الزاك","تويزكي","1501","23475","PAM","بكار صغير","12494"
"كلميم -واد نون","أسا - الزاك","تويزكي","1501","23475","PAM","رشيدة ابكشو","12555"
"كلميم -واد نون","أسا - الزاك","تويزكي","1501","23474","RNI","بدة عدي","1355"
"كلميم -واد نون","أسا - الزاك","تويزكي","1501","23474","RNI","زينب برزيك","1420"
"كلميم -واد نون","أسا - الزاك","تويزكي","1501","23469","USFP","سيدي عبدالله كدوار","92786"
"كلميم -واد نون","أسا - الزاك","تويزكي","1501","23469","USFP","محجيبة مروان","93109"
"كلميم -واد نون","أسا - الزاك","تويزكي","1501","23470","PAM","يحي واكجي","22591"
"كلميم -واد نون","أسا - الزاك","تويزكي","1501","23470","PAM","نبغوها بالا","22659"
"كلميم -واد نون","أسا - الزاك","تويزكي","1501","23472","USFP","سلامة الكيتوف","114390"
"كلميم -واد نون","أسا - الزاك","تويزكي","1501","23472","USFP","فاطمة بلاوي","114729"
"كلميم -واد نون","أسا - الزاك","تويزكي","1501","23471","RNI","الحدرامي بنك","27601"
"كلميم -واد نون","أسا - الزاك","تويزكي","1501","23478","RNI","بلعيد بوكنين","1546"
"كلميم -واد نون","أسا - الزاك","تويزكي","1501","23477","RNI","براهيم شربار","110086"
"كلميم -واد نون","أسا - الزاك","تويزكي","1501","23479","RNI","الوافي سهل","1800"
