region,province,commune,id_commune,circ,parti,candidat,id_candidat
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10651","PI","سعيد الداه","54533"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10658","PI","عبيدي طه","52374"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10658","PI","اعزيزة طه","52559"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10651","PI","سعاد  انجيم ","54666"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10655","PI","الخليل بومراح","53037"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10649","PAM","محمد الراضي","123531"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10649","PAM","للا خدجة مخلوف","123619"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10650","PI","سلاما بن ليمام","52889"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10652","UC","مولاي مولود ابعي","64558"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10652","UC","فتاتة النفاع","64642"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10656","PI","مولاي عبد الله بلقاضي","52735"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10653","PI","عبد الله شنكلي","53317"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10654","SAP","البشير ابريه","67339"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10654","SAP","اكريكيبة ابريه","67395"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10657","PI","مولاي السالك الاسماعيلي","56252"
"العيون- الساقية الحمراء","السمارة","الجديرية","682","10648","RNI","سيدي نافع الهادي","72240"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","مولاي ابراهيم شريف","127976"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","الزينة الركيبي","128044"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","مولاي زبير حبدي","128054"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","خديجة حما","128079"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","احمد الراحل","128098"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","خديجة ابو الفتوح","128155"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","حميد الهاشمي","128172"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PI","عمر ادخيل","128221"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","سيدي محمد الجماني","156536"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","جميلة الهريمي","157324"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","سيدي محمد محمود الشيكر","156686"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","ثورية بياض","156626"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","RNI","عبد المجيد الادريسي","158076"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PAM","سيدي صالح الادريسي","123987"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PAM","اعبيدة حيماد","124577"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PAM","مولاي البشير الشرفي","124516"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PRV","محمد عالمي","104636"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PRV","ثوريا هلمبارك","105140"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PDN","محمد لخريف","161219"
"العيون- الساقية الحمراء","السمارة","السمارة","526","25074","PDN","احجبوها لخريف","161271"
