region,province,commune,id_commune,circ,parti,candidat,id_candidat
"مراكش- آسفي","أسفي","آسفي","1568","25037","PAM","الياس البداوي","2393"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PAM","لوبنى المعروفي","3272"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PAM","محمد كاريم","3232"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PAM","نجية بوغنيمي","3472"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PAM","اشرف دندون","3383"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PAM","امينة بن العام","3644"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PAM","رضى فهمي","3619"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PAM","عبد الجليل زرياض","3783"
"مراكش- آسفي","أسفي","آسفي","1568","25037","RNI","عثمان الشقوري","122487"
"مراكش- آسفي","أسفي","آسفي","1568","25037","RNI","غيثة صبرا السويطي","123666"
"مراكش- آسفي","أسفي","آسفي","1568","25037","RNI","سليم اللويزي","122638"
"مراكش- آسفي","أسفي","آسفي","1568","25037","RNI","سهام ايت ناصر","123663"
"مراكش- آسفي","أسفي","آسفي","1568","25037","RNI","عثمان الشرقي","122743"
"مراكش- آسفي","أسفي","آسفي","1568","25037","RNI","عبد الحق اتريعي","122614"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PI","نور الدين كموش","5116"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PI","فدوى بن ادهيبة","5792"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PI","الطيب كرياني","5407"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PI","خديجة الخبابي","5640"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PI","عزيز بوحمالة","6918"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PI","ربيع اجرارعي","6908"
"مراكش- آسفي","أسفي","آسفي","1568","25037","UC","نور الدين لمخودم","58319"
"مراكش- آسفي","أسفي","آسفي","1568","25037","UC","فضيلة اربيب","58716"
"مراكش- آسفي","أسفي","آسفي","1568","25037","UC","يوسف مغيميمي","58461"
"مراكش- آسفي","أسفي","آسفي","1568","25037","UC","نور الدين لواح","58548"
"مراكش- آسفي","أسفي","آسفي","1568","25037","MP","عادل السباعي","8069"
"مراكش- آسفي","أسفي","آسفي","1568","25037","MP","مليكة العزوزي","8610"
"مراكش- آسفي","أسفي","آسفي","1568","25037","MP","حسن بالمغمض","8059"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","حسن عديلي ","38816"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","ياسمين ندير","39670"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PJD","محمد العيشي","38950"
"مراكش- آسفي","أسفي","آسفي","1568","25037","USFP","حميد السودري","108095"
"مراكش- آسفي","أسفي","آسفي","1568","25037","USFP","الغالية اعبيد","109290"
"مراكش- آسفي","أسفي","آسفي","1568","25037","USFP","يوسف اجدية","109693"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PPS","محمد زنون","149603"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PPS","غيثة بدرون","151121"
"مراكش- آسفي","أسفي","آسفي","1568","25037","UMD","مراد الدالي","12333"
"مراكش- آسفي","أسفي","آسفي","1568","25037","P.ALAMAL","يونس مرزوقي","70303"
"مراكش- آسفي","أسفي","آسفي","1568","25037","P.ALAMAL","بشرة الصدقي","70919"
"مراكش- آسفي","أسفي","آسفي","1568","25037","UMD","مينة النعيمي","12457"
"مراكش- آسفي","أسفي","آسفي","1568","25037","CNI","سعيد لمغاري","75525"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PADS","نوال بنسلامة","75723"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PND","محمد كاوي","131565"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PND","مليكة بيا","132685"
"مراكش- آسفي","أسفي","آسفي","1568","25037","FFD","محمد الزيان","73382"
"مراكش- آسفي","أسفي","آسفي","1568","25037","FFD","إجلال يشرق","74197"
"مراكش- آسفي","أسفي","آسفي","1568","25037","MDS","رشيد هنداز","100732"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PUD","نور الدين زوال","118605"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PML","عبد الله فكار","77499"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PA","محمد الجباري","93803"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PLJS","زين الدين أطيبي","134090"
"مراكش- آسفي","أسفي","آسفي","1568","25037","PDN","صلاح الدين موراحي","112251"
"مراكش- آسفي","أسفي","اتوابت","260","3889","PPS","عبد الاله الباز","70035"
"مراكش- آسفي","أسفي","اتوابت","260","3889","PPS","مينة الباز","69988"
"مراكش- آسفي","أسفي","اتوابت","260","3893","MP","المصطفى سالم","26311"
"مراكش- آسفي","أسفي","اتوابت","260","3893","MP","بهيجة قربال","26175"
"مراكش- آسفي","أسفي","اتوابت","260","3899","PPS","محمد امعيضة","38424"
"مراكش- آسفي","أسفي","اتوابت","260","3894","MP","سعيد حابلي","4367"
"مراكش- آسفي","أسفي","اتوابت","260","3898","MP","عبد الوهاب ارسيم","8864"
"مراكش- آسفي","أسفي","اتوابت","260","3888","MP","عبد الرحيم السعيد","71164"
"مراكش- آسفي","أسفي","اتوابت","260","3888","MP","هدى السعيد","71110"
"مراكش- آسفي","أسفي","اتوابت","260","3897","PPS","عبد الحفيظ ادريويش ","38536"
"مراكش- آسفي","أسفي","اتوابت","260","3890","MP","عبدالله الجزولي","27767"
"مراكش- آسفي","أسفي","اتوابت","260","3891","MP","ادريس الحمامصي","6702"
"مراكش- آسفي","أسفي","اتوابت","260","3891","MP","خديجة الحمامصي","6238"
"مراكش- آسفي","أسفي","اتوابت","260","3892","MP","صالح العود","23500"
"مراكش- آسفي","أسفي","اتوابت","260","3892","MP","ام هاني الابراهيمي","23435"
"مراكش- آسفي","أسفي","اتوابت","260","3895","MP","عبد الله النواوي","4088"
"مراكش- آسفي","أسفي","اتوابت","260","3900","MP"," عثمان  بلحفيظ","8246"
"مراكش- آسفي","أسفي","اتوابت","260","3896","PPS","يوسف الشاب","38263"
"مراكش- آسفي","أسفي","اصعادلا","1106","17357","RNI","رفيق بندحمان","108257"
"مراكش- آسفي","أسفي","اصعادلا","1106","27628","UC","عبد اللطيف لمريق","26575"
"مراكش- آسفي","أسفي","اصعادلا","1106","27628","UC","اعبوش لمريق","26615"
"مراكش- آسفي","أسفي","اصعادلا","1106","17367","PAM","احمد حجامي","48621"
"مراكش- آسفي","أسفي","اصعادلا","1106","27631","PI","محمد  الرزرازي","5192"
"مراكش- آسفي","أسفي","اصعادلا","1106","17366","RNI","عبد الرحيم باشرة","15914"
"مراكش- آسفي","أسفي","اصعادلا","1106","17365","UC","الهاشمي  فكاك","48746"
"مراكش- آسفي","أسفي","اصعادلا","1106","27630","PI","سمير امهيتيل","7856"
"مراكش- آسفي","أسفي","اصعادلا","1106","27630","PI","مينة  بنزمور","7930"
"مراكش- آسفي","أسفي","اصعادلا","1106","27629","MP","عبدالمطالب بطي","21153"
"مراكش- آسفي","أسفي","اصعادلا","1106","17359","MP","عبد الاله  زوفير","21510"
"مراكش- آسفي","أسفي","اصعادلا","1106","17360","PPS","عبد الله بنريوي","3770"
"مراكش- آسفي","أسفي","اصعادلا","1106","17360","PPS","رقية بكيت","3870"
"مراكش- آسفي","أسفي","اصعادلا","1106","17368","UC","عمر بوشوير","29809"
