region,province,commune,id_commune,circ,parti,candidat,id_candidat
"الشرق","الدريوش","أولاد أمغار","983","15523","PAM","محمد بوحنو","19651"
"الشرق","الدريوش","أولاد أمغار","983","15523","PAM","مليكة ابلحاج","19676"
"الشرق","الدريوش","أولاد أمغار","983","15526","PAM","نجيب الحموتي","77193"
"الشرق","الدريوش","أولاد أمغار","983","15526","PAM","فدوى احلوش","77279"
"الشرق","الدريوش","أولاد أمغار","983","15533","PAM","شعيب قروش","19425"
"الشرق","الدريوش","أولاد أمغار","983","15533","PAM","نوال قروش","19463"
"الشرق","الدريوش","أولاد أمغار","983","15532","PAM","المصطفى بنشعيب","19454"
"الشرق","الدريوش","أولاد أمغار","983","15530","PAM","محمد خاط","19509"
"الشرق","الدريوش","أولاد أمغار","983","15530","PAM","فاطمة حموتي","19575"
"الشرق","الدريوش","أولاد أمغار","983","15525","PAM","عبدالحليم تغدا","77372"
"الشرق","الدريوش","أولاد أمغار","983","15525","PAM","فاطمة  احلوش","77531"
"الشرق","الدريوش","أولاد أمغار","983","15527","PAM","احمد بلقاضي","19556"
"الشرق","الدريوش","أولاد أمغار","983","15531","PAM","محمد الغديوي","53648"
"الشرق","الدريوش","أولاد أمغار","983","15528","PAM","المصطفى احذور","19504"
"الشرق","الدريوش","أولاد أمغار","983","15524","USFP","ابوالقاسم الوزاني","66143"
"الشرق","الدريوش","أولاد أمغار","983","15529","PAM","احمد الديواني","30712"
"الشرق","الدريوش","أولاد بوبكر","990","15620","RNI","خالد بزعنين","119749"
"الشرق","الدريوش","أولاد بوبكر","990","15620","RNI","فوزاية اسباغي","119874"
"الشرق","الدريوش","أولاد بوبكر","990","15619","RNI","علي الخولاتي","53566"
"الشرق","الدريوش","أولاد بوبكر","990","15619","RNI","خديجة الخلاتي","53661"
"الشرق","الدريوش","أولاد بوبكر","990","15614","MP","مصطفى ارزوق","19072"
"الشرق","الدريوش","أولاد بوبكر","990","15617","RNI","الراضي مهداد","55404"
"الشرق","الدريوش","أولاد بوبكر","990","15617","RNI","غزلان شهبوني","55474"
"الشرق","الدريوش","أولاد بوبكر","990","15610","RNI","امحند المرياوي","120484"
"الشرق","الدريوش","أولاد بوبكر","990","15610","RNI","سهام  اقطيطو","120632"
"الشرق","الدريوش","أولاد بوبكر","990","15616","RNI","محمد بوشلاغم","29181"
"الشرق","الدريوش","أولاد بوبكر","990","27085","PI","عبدالعزيز البقالي","119377"
"الشرق","الدريوش","أولاد بوبكر","990","15615","RNI","بوشتة اسروت","44230"
"الشرق","الدريوش","أولاد بوبكر","990","15612","MP","خليد بوحداش","94460"
"الشرق","الدريوش","أولاد بوبكر","990","15612","MP","امينة المنصوري","94576"
"الشرق","الدريوش","أولاد بوبكر","990","27084","PI","علي الحضراوي","19167"
"الشرق","الدريوش","أولاد بوبكر","990","15611","RNI","علي بوحدايد","118954"
"الشرق","الدريوش","أولاد بوبكر","990","15613","RNI","ابراهيم اسباغي","121216"
