region,province,commune,id_commune,circ,parti,candidat,id_candidat
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2143","PAM","جمال الصدقي","11015"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2143","PAM","فاطمة الزهراء اصديقن","11038"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2148","MP","المحجوب المكي","1946"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2148","MP","مريم الحرتي","2084"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2141","PPS","عمر بنسيتل","62627"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2142","PAM","حميد  دي","4309"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2145","PAM","محمد قراش","11464"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2145","PAM","سليمة عكوط","11505"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2139","PAM","لحسن صاديق","11271"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2139","PAM","شيماء بن غرداش","11312"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2144","PAM","حميد بوعقة","11097"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2144","PAM","سعدية الزيازي","11122"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2146","PAM","محمد لوبات ","4775"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2151","PAM","محمد بن بوبدي","4998"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2149","RNI","رشيد الصادقي","22604"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2147","PAM","محات لوبات","11215"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2140","PAM","عثمان حرش الراس","10947"
"الرباط -سلا -القنيطرة","الخميسات","آيت  أوريبل","151","2150","RNI","الحسن اودير","33041"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1759","PAM","احمد رفيق","17982"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1759","PAM","اصفية الرويف","18056"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1757","PAM","ابراهيم اوباحة","83663"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1757","PAM","رابحة ايكن","83737"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1758","PAM","عبد العزيز رفيق","21999"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1758","PAM","ام كلتوم اوهمو","22030"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1754","MP","جدو الادريسي","28448"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1754","MP","نعيمة ابوحسوس","28537"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1752","PAM","محمد محاسين","83900"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1753","PAM","محمد ايت عقة نعلا","83380"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1750","PAM","علي بوهاد","102298"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1756","PI","عبد القادر  وعزيز","2614"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1760","MP","لحسن حدجي","11040"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1760","MP","حكيمة اوقاسي","2442"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1755","MDS","بن عياد  ينيتان ","131348"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيشو","122","1751","PAM","عبدالرحمان ايت حدو","109887"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1774","MP","محمد لحموش","53978"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1774","MP","خدوج العلواني","34669"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1778","PAM","عزيز بوفراس","23782"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1778","PAM","جميلة الاولى","23879"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1777","PAM","محمد  كليدة","23476"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1777","PAM","الهام العتماني","23669"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1785","PAM","المصطفى بن قاسو","70776"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1785","PAM","مريم منان","26458"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1781","MP","رشيد المحجوبي","136105"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1781","MP","حكيمة موحاشت","136327"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1775","PI","محمد عماري","62386"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1779","MP","رحو بطيح","5822"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1783","PAM","حسن مومني","23949"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1782","RNI","عبد العزيز بوزيان","131865"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1786","PAM","طريق بويسحاق","24460"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1780","RNI","انوار اعريب","34862"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1784","MP","موسى خيي","49379"
"الرباط -سلا -القنيطرة","الخميسات","آيت إيكو","124","1776","PAM","جواد ادريسي","35062"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1512","MDS","عزى بابي","7989"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1512","MDS","خديجة ابيدة","8114"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1519","MDS","سعيد بوطيب","7704"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1510","RNI","ملوك عموري","30249"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1510","RNI","مريم بلوى","30304"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1516","MDS","موسى جاتو","30165"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1516","MDS","ماجدة بسام","30210"
"الرباط -سلا -القنيطرة","الخميسات","آيت بلقاسم","102","1515","MDS","لمصدق درقوش","30118"
