region,province,commune,id_commune,circ,parti,candidat,id_candidat
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27946","RNI","احمد حبوش","71514"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27946","RNI","فاطمة الهدري","71547"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27937","USFP","سعيد بوزري","780"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27949","PAM","الحسين ايوب","1903"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27940","RNI","محمد تمياس","26925"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27940","RNI","فاطمة بجغاغ","26253"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27933","USFP","عمر ازورداز","606"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27932","PAM","عبد الواحد يكيمدران","1483"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27932","PAM","سميرة مفتاح","1506"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27944","PI","عبد الله اودرى","136632"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27944","PI","رشيدة سكوطي","136740"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27941","RNI","محمد عداك","17159"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27941","RNI","كريمة نويويشة","17206"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27956","RNI","فاطمة هلال","22777"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27934","RNI","عبد الله ازيكي","36213"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27948","RNI","محمد بالعواد","26358"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27952","RNI","ابراهيم عضيض","11201"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27954","RNI","محمد الغوزال","11173"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27943","PAM","عبد الرحيم حابوت","2035"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27951","RNI","محمد زكمي","13230"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27950","RNI","يامنة حندور","65747"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27935","PI","ايوب بازين","58807"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27947","RNI","ناصر ازوفري","13498"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27945","PI","محمد الكمودي","137081"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27936","USFP","ياسين عدنان","1062"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27939","RNI","عتمان بوتفوست","17119"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27955","RNI","الحسن المراش","120160"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27938","USFP","رشيد اوناصر","549"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27942","PAM","سعيد حابوت","2094"
"سوس- ماسة","أكادير- إدا وتنان","أورير","226","27953","RNI","رشيد سكوتي","13331"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10192","RNI","عمر الحاني","130786"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10192","RNI","فاطمة بوالزيت","130837"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10193","RNI","محند اضرضور","46081"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10193","RNI","حبيبة شهريض","46095"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10194","RNI","حسن اريج","46066"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10190","RNI","محمد ايهوم","129875"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10190","RNI","مريم ايهوم","129893"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10199","RNI","مولاي الحسن المودن","46296"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10199","RNI","خديجة اهناين","46363"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10189","RNI","الحسن ابلا","130945"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10197","RNI","احمد بوخنفر","46411"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10195","RNI","ابراهيم المودن","46121"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10195","RNI","عائشة اطرماد","46135"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10196","RNI","احمد بلكاهي","53936"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10191","RNI","عبد الله مسعودي","46040"
"سوس- ماسة","أكادير- إدا وتنان","إيموزار","651","10198","RNI","عبد الله اوسوس","46566"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4006","RNI","الحسن زاهيم","9429"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4007","RNI","مولاي احمد ايت الشيخ","12121"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4007","RNI","رقية ابعزيز","12151"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","3997","PAM","ياسين اجروض","47517"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","3997","PAM","مريم ابويعقوب","47571"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4001","PAM","ميلود الحيان","47823"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4001","PAM","فوزية بو الفنيد","47862"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4005","PAM","محمد بتشكط","49053"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4004","PI","حسن المعناوي","66103"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","3998","PAM","عبد الرحمن اماز","73795"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","3998","PAM","حياة اماز","73875"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4003","USFP","محمد  الحيان ","120545"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4003","USFP","اسماء ادالحسن","121160"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4000","RNI","سعيد المنديش","10906"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","4002","RNI","محمد ابركتن","11353"
"سوس- ماسة","أكادير- إدا وتنان","ازيار","267","3999","PAM","احمد الحيان","47653"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9727","PI","عبد الله كوكوش","32089"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9727","PI","فاضمة ابناي","32107"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9731","RNI","الحسين بزكرا","114752"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9731","RNI","خديجة سمي","114930"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9735","RNI","حسن منير ","12674"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9735","RNI","عائشة  اسرار","12874"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9730","PI","الحسن شمسي","38428"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9736","PJD","الحسن اموسى","22000"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9729","PI","محند شكايح","38577"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9729","PI","خديجة شكايح","38718"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9737","PI","الحسين الديب","37752"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9733","PI","عبدالرحيم تزمورت","23190"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9728","RNI","الحسن ايت ادريس","106264"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9734","RNI","مولاي سليمان بوتجنويت","33845"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9734","RNI","خديجة بوتجنويت","33936"
"سوس- ماسة","أكادير- إدا وتنان","اضمين","617","9732","PI","احمد فارس","21931"
"سوس- ماسة","أكادير- إدا وتنان","اقصري","228","3365","PPS","محمد  مودي ","61700"
"سوس- ماسة","أكادير- إدا وتنان","اقصري","228","3365","PPS","ايمان الخضار","61764"
"سوس- ماسة","أكادير- إدا وتنان","اقصري","228","3364","PPS","عبد الله نايت امغار","28380"
"سوس- ماسة","أكادير- إدا وتنان","اقصري","228","3364","PPS","حنان نايت امغار","28555"
"سوس- ماسة","أكادير- إدا وتنان","اقصري","228","3362","USFP","محمد اضراب","32478"
