region,province,commune,id_commune,circ,parti,candidat,id_candidat
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26650","USFP","ابراهيم الكوطة","25396"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26650","USFP","نسرين الخطابي","25503"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26653","USFP","عبد الله الخطابي","90648"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26653","USFP","لمياء بوداهم","90933"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26651","USFP","محمد الخطابي","47558"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26651","USFP","فاطمة اشن","47601"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26652","USFP","سليمان بندحمان","26381"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26652","USFP","فرح الخطابي","26424"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26656","RNI","احمد بوزبع","93114"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26658","USFP","عبد الواحد ابقوي","27366"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26657","USFP","سعيد دودوح","26573"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26654","USFP","عادل المرابط","28631"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26655","USFP","سمير الخطابي","28223"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26659","USFP","علي  بلحاج","27969"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26660","RNI","محمد املو","103847"
"طنجة- تطوان -الحسيمة","الحسيمة","أجدير","1586","26660","RNI","فريدة ��لخطابي","103944"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1854","USFP","محمد العلاوي","27924"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1854","USFP","دينة العلاوي","28079"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1850","USFP","فكري بلحسن","18055"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1850","USFP","امينة عزوزي","18157"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1849","USFP","محمد دالوح","39585"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1849","USFP","سمية دالوح","39675"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","27048","USFP","عبدالحق بنصديق","59433"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","27048","USFP","سمية الحدادي","60046"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1852","USFP","صديق اصريح","68115"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1855","RNI","عبد الناصر الصالحي","140524"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1851","USFP","شاكر المساوي","67818"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1848","USFP","محمد الخناشي","39871"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1845","RNI","محمود الحسني","62510"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1845","RNI","نجمة امزغار","62598"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1853","PAM","ادريس الحدوتي","126209"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","27049","USFP","منير اواغي","40001"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1846","RNI","اسماعيل بلحسن","73965"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت قمرة","129","1847","PAM","احمد  بن احمد","126031"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2399","USFP","عمر اكروح","26718"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2399","USFP","أسماء المقدم","26855"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","27052","USFP","احمد لعشير","1855"
"طنجة- تطوان -الحسيمة","الحسيمة","آيت يوسف وعلي","168","2402","USFP","محمد واعروص","12371"
