region;province;daire;type;parti;candidat;voix;sieges
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;حزب العدالة والتنمية;محمد صديقي;29531;2
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;حزب الأصالة والمعاصرة;عبد الفتاح العوني;15358;1
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;تحالف أحزاب فيدرالية اليسار الديمقراطي;عمر بلافريج;8048;1
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;حزب التجمع الوطني للأحرار;عبد القادر تاتو;3762;0
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;حزب الحركة الشعبية;سعيد التونارتي;2722;0
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;حزب الاستقلال;محمد بولحسن;2629;0
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;حزب الاتحاد الدستوري;نبيل الدخش;1941;0
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;حزب الاتحاد الاشتراكي للقوات الشعبية;الحسين ايت المحجوب;1109;0
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;حزب التقدم والاشتراكية;كريم تاج;776;0
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;حزب البيئة والتنمية المستدامة;نعيمة غالم;268;0
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;حزب الاتحاد المغربي للديمقراطية;عبد الحكيم زاليم;169;0
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;حزب الحركة الديمقراطية الاجتماعية;منير بولخلاف;119;0
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;حزب النهضة;مصطفى الشريف الوكيل;107;0
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;حزب الوسط الاجتماعي;عبد الرحيم الحمداني;87;0
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;حزب الوحدة والديمقراطية;العياشي اولاد جمعة;85;0
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;حزب الإصلاح والتنمية;منصف حجار;83;0
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية; حزب النهضة والفضيلة;رقية الدريوش;58;0
الرباط -سلا -القنيطرة;الرباط;الرباط - المحيط;محلية;الحزب الديمقراطي الوطني;عمر وشان;16;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;حزب العدالة والتنمية;سليمان العمراني;22551;2
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;حزب الأصالة والمعاصرة;سيدي ابراهيم الجماني;14389;1
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;حزب الاتحاد الدستوري;خالد مجاور;4330;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;تحالف أحزاب فيدرالية اليسار الديمقراطي;محمد الامين خاجي;3085;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;حزب الاستقلال;حمدون الحسني;1781;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;حزب الاتحاد الاشتراكي للقوات الشعبية;حمزة اجديرة;1757;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;حزب الاتحاد المغربي للديمقراطية;جمال المنظري ;1210;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;حزب التقدم والاشتراكية;رشيد الاطراسي;664;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;حزب التجمع الوطني للأحرار;محمد هشام بن صاري;649;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;حزب الحركة الشعبية;بشرى العمراني;308;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;حزب جبهة القوى الديمقراطية;خالد هبشان;252;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;حزب البيئة والتنمية المستدامة;عبدالوهاب الناصري الدرعي;168;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;حزب الوسط الاجتماعي;علي الضو;124;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;حزب الوحدة والديمقراطية;عز الدين بقالي;117;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;حزب الحركة الديمقراطية الاجتماعية;المصطفى احسني;104;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية; حزب النهضة والفضيلة;ادريس هدان;94;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;حزب الإصلاح والتنمية;عبد القادر هاشم;76;0
الرباط -سلا -القنيطرة;الرباط;الرباط - شالة;محلية;الحزب الديمقراطي الوطني;عبد الكبير عقيل;21;0
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;حزب العدالة والتنمية;موح رجدالي;38796;2
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;حزب الأصالة والمعاصرة;محمد الهلالي;20010;1
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;حزب الاتحاد الدستوري;حسن عاريف;10740;1
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;حزب التجمع الوطني للأحرار;رشيد الساجد;7247;0
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;حزب الاستقلال;محمد فوزي بنعلال;4351;0
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;تحالف أحزاب فيدرالية اليسار الديمقراطي;محمد الصغير;3048;0
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;حزب التقدم والاشتراكية;زهير الزمزامي;3040;0
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;حزب الاتحاد الاشتراكي للقوات الشعبية;عزالدين المخلص;2138;0
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;حزب الحركة الديمقراطية الاجتماعية;حسن تخوشة;511;0
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;حزب الحركة الشعبية;احمد السلواني;411;0
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;حزب الشورى والاستقلال;عبد الحميد بوجمعي;343;0
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;حزب الأمل;حسن غوتي;341;0
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;حزب جبهة القوى الديمقراطية;فريد الحلابي;297;0
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;تحالف العهد و التجديد;نضال  العراقي ;265;0
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;حزب المجتمع الديمقراطي;عزيز حمدون;185;0
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية; حزب النهضة والفضيلة;حسن بيمورن;159;0
الرباط -سلا -القنيطرة;الصخيرات تمارة;الصخيرات - تمارة;محلية;الحزب الديمقراطي الوطني;بوشعيب مجتهد;89;0
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;حزب الحركة الشعبية;محمد لحموش;13470;1
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;حزب الأصالة والمعاصرة;محمد اشرورو;10571;1
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;حزب التقدم والاشتراكية;الحبيب حسيني;9950;1
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;حزب التجمع الوطني للأحرار;لحسن الفرشيوي;7561;0
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;حزب العدالة والتنمية;عبد الله بنحمو;4435;0
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;حزب الحركة الديمقراطية الاجتماعية;ميمون شعران;3917;0
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;حزب الاستقلال;محمد علي اوحيرى;1764;0
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;حزب جبهة القوى الديمقراطية;عزيز زلماط;973;0
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;حزب الشورى والاستقلال;احمد بلغازي;935;0
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;تحالف أحزاب فيدرالية اليسار الديمقراطي;محمد المرس;863;0
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;حزب الحرية والعدالة الاجتماعية;حسن بنوشان;232;0
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;حزب الاتحاد الاشتراكي للقوات الشعبية;الحسين العجان;182;0
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;حزب الإصلاح والتنمية;سعيد عزي اشوت;157;0
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;حزب المجتمع الديمقراطي;محمد الخياطي;134;0
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية; حزب النهضة والفضيلة;موسى ايزام;131;0
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;حزب الوسط الاجتماعي;منير قرماش;101;0
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;حزب اليسار الأخضر المغربي;هشام الطاهري;94;0
الرباط -سلا -القنيطرة;الخميسات;الخميسات - أولماس;محلية;الحزب الديمقراطي الوطني;جمال اللطيفي;34;0
الرباط -سلا -القنيطرة;الخميسات;تيفلت - الرماني;محلية;حزب الحركة الديمقراطية الاجتماعية;عبد الصمد عرشان;18163;1
الرباط -سلا -القنيطرة;الخميسات;تيفلت - الرماني;محلية;حزب التجمع الوطني للأحرار;حسن الفيلالي;14789;1
الرباط -سلا -القنيطرة;الخميسات;تيفلت - الرماني;محلية;حزب الأصالة والمعاصرة;رحو الهيلع;9754;1
الرباط -سلا -القنيطرة;الخميسات;تيفلت - الرماني;محلية;حزب العدالة والتنمية;محمد لبصير;8947;0
